"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"NDC1",5.37564205913048e-05,4.87571881220018,0.333,0.034,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PLCB2",0.0290480441167728,4.83407257084454,0.167,0.027,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"COL1A2",0.0721758613922603,-4.79765479582184,0,0.366,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"MRPL11",0.0158749184564725,4.79600720026614,0.333,0.081,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC002558.3",0.00145067094521221,4.77481231642269,0.167,0.014,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"MT-ND5",0.0100955819578682,-4.76565735146086,0,0.585,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"GLS",0.0110059029058829,-4.76042652406573,0,0.577,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"SCRN1",0.00107892311574887,4.75507123087229,0.167,0.013,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CLIC2",0.00167866475150184,4.74304138889819,0.167,0.014,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PGPEP1",0.000289940591653607,4.70070269214697,0.333,0.043,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CREB5",0.000102419720719407,4.7001522522957,0.333,0.038,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"BCL2L14",0.000210385358728262,4.68621197303574,0.167,0.011,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC092115.3",6.66298763593591e-05,4.67819261196764,0.167,0.009,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ELAC2",0.111350453862574,4.67633843011654,0.167,0.042,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ST7",0.0822150397198781,4.6733652591861,0.167,0.037,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"MIR646HG",0.00316675517010929,4.62998193945173,0.167,0.016,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"JUN",0.00387487437915352,-4.61791636730168,0.167,0.733,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"TSG101",0.0084498443158192,4.59927038968151,0.5,0.165,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CCSER2",0.0168943990366339,-4.59014052006312,0,0.534,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"CLEC2B",0.0213898697319471,-4.58671916680788,0,0.51,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"CACNA2D4",0.00289694909326308,4.58405492947868,0.167,0.016,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"DNASE1",0.000567955624496477,4.57911661031334,0.333,0.046,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"G0S2",0.0215277165732656,-4.57183791273888,0,0.509,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
