"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0006402","mRNA catabolic process","74/2423","356/18986",0.207865168539326,1.62877758559127,4.58066076734784,1.27957155894977e-05,0.000302781756341292,0.000231669798041433,"340152/246175/6556/56829/26986/55544/54855/10865/3304/5578/3303/22882/197135/7186/25819/2081/22849/64282/2935/23019/27161/9261/255967/79066/155435/79670/23185/23318/9567/23112/3183/54464/472/8148/9698/23369/23049/3192/2521/26019/5073/26058/5394/27327/1655/22916/22894/3658/23367/90806/22803/26135/23435/79048/57721/4850/1994/27257/9967/3182/79068/22868/54915/1432/9444/207/9775/4869/550643/57690/4849/56006/1153/3646",74,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:1904356","regulation of telomere maintenance via telomere lengthening","20/2423","57/18986",0.350877192982456,2.74938274286625,5.05907289526677,1.31055697570601e-05,0.000308902374664456,0.000236352915108823,"2643/64282/80169/140609/3320/3183/54464/472/3192/3178/25913/5073/10575/5394/3181/100134934/5371/54984/1736/55226",20,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002726","positive regulation of T cell cytokine production","13/2423","28/18986",0.464285714285714,3.63802252225694,5.34285960252524,1.3325473537347e-05,0.000310447518626841,0.000237535163319667,"3553/924/30009/2625/6504/8809/10892/10865/7186/163486/3105/567/6885",13,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0033081","regulation of T cell differentiation in thymus","13/2423","28/18986",0.464285714285714,3.63802252225694,5.34285960252524,1.3325473537347e-05,0.000310447518626841,0.000237535163319667,"814/3575/10125/9840/9760/1029/23240/3561/101/6655/5771/6654/6935",13,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","13/2423","28/18986",0.464285714285714,3.63802252225694,5.34285960252524,1.3325473537347e-05,0.000310447518626841,0.000237535163319667,"1236/5788/9840/84433/5583/50852/10666/3932/1540/25865/27086/5970/57181",13,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0006997","nucleus organization","39/2423","153/18986",0.254901960784314,1.99734569849401,4.73744507632674,1.40445364072529e-05,0.000325941279543707,0.000249390027053486,"5579/4001/1029/2113/4928/5578/57602/28996/23198/22927/6314/23133/5048/80314/283131/5253/25777/3267/9519/148362/84942/22933/23760/26135/221496/5371/7175/23435/5339/29082/165324/129401/124491/9525/23378/64431/53371/27348/7341",39,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002369","T cell cytokine production","16/2423","40/18986",0.4,3.13429632686752,5.168189781173,1.43336468680116e-05,0.000328856369587765,0.000251620472936158,"3553/924/30009/2625/7133/6504/8809/10892/10865/4092/7186/163486/3134/3105/567/6885",16,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002724","regulation of T cell cytokine production","16/2423","40/18986",0.4,3.13429632686752,5.168189781173,1.43336468680116e-05,0.000328856369587765,0.000251620472936158,"3553/924/30009/2625/7133/6504/8809/10892/10865/4092/7186/163486/3134/3105/567/6885",16,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0072539","T-helper 17 cell differentiation","16/2423","40/18986",0.4,3.13429632686752,5.168189781173,1.43336468680116e-05,0.000328856369587765,0.000251620472936158,"3662/30009/969/84807/3718/4063/10892/4092/6776/10538/2033/23476/6774/3716/6095/3570",16,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0031397","negative regulation of protein ubiquitination","25/2423","81/18986",0.308641975308642,2.41843852381753,4.89302228077994,1.53651987210844e-05,0.00035118791319327,0.000268707183375902,"7128/84707/1029/2534/10625/3304/9683/4092/1407/409/3303/65125/9636/5663/3301/8473/11338/11261/2874/10196/54765/339745/54984/55869/207",25,"STA_vs_Ruptured_de_novo","down","GO_BP"
