"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0051251","positive regulation of lymphocyte activation","17/142","336/18986",0.0505952380952381,6.76479711602951,9.25501598694269,5.95136868833375e-10,4.31261681022471e-08,3.41196889086803e-08,"1236/7409/6693/729230/864/3561/939/1880/11151/923/3071/3932/5588/5788/6352/916/3575",17,"STA_vs_Unruptured","down","GO_BP"
"GO:0072676","lymphocyte migration","11/142","110/18986",0.1,13.3704225352113,11.2950671564121,6.27923565518754e-10,4.39329970495708e-08,3.47580195069365e-08,"1236/6693/64005/729230/1901/1880/11151/5293/3683/3627/6352",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0050867","positive regulation of cell activation","18/142","391/18986",0.0460358056265985,6.15518172976478,8.94122846547642,8.17490830275874e-10,5.52896298209916e-08,4.37429303919547e-08,"1236/7409/6693/729230/864/3561/939/1880/11151/923/3071/3932/914/5588/5788/6352/916/3575",18,"STA_vs_Unruptured","down","GO_BP"
"GO:0045058","T cell selection","9/142","63/18986",0.142857142857143,19.1006036217304,12.4919795103774,9.52752691815143e-10,6.23592003771912e-08,4.93360901534157e-08,"1236/6693/387357/3718/917/915/5788/916/10538",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0032943","mononuclear cell proliferation","16/142","305/18986",0.0524590163934426,7.01399214961903,9.19127248589876,1.16826987620831e-09,7.40756118383328e-08,5.86056434611074e-08,"6693/10077/26191/729230/22806/6480/1880/11151/923/3071/5588/5788/6352/916/3575/944",16,"STA_vs_Unruptured","down","GO_BP"
"GO:0070663","regulation of leukocyte proliferation","15/142","270/18986",0.0555555555555556,7.42801251956182,9.23453438869385,1.82070335890204e-09,1.11945670157947e-07,8.85669098030499e-08,"6693/10077/26191/729230/22806/6480/1880/11151/923/3071/5588/5788/6352/916/944",15,"STA_vs_Unruptured","down","GO_BP"
"GO:2000106","regulation of leukocyte apoptotic process","10/142","93/18986",0.10752688172043,14.3767984249584,11.2255110023367,1.89469792693605e-09,1.1306888511039e-07,8.94555522779406e-08,"1236/1234/6480/939/3718/917/5293/5588/6352/3575",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0043368","positive T cell selection","8/142","50/18986",0.16,21.392676056338,12.533663342288,3.30679130875197e-09,1.91699416155936e-07,1.51664864536745e-07,"6693/387357/3718/917/915/5788/916/10538",8,"STA_vs_Unruptured","down","GO_BP"
"GO:0050670","regulation of lymphocyte proliferation","14/142","240/18986",0.0583333333333333,7.79941314553991,9.20207291545953,3.48188731293289e-09,1.96243037720579e-07,1.5525959509423e-07,"6693/10077/26191/729230/22806/1880/11151/923/3071/5588/5788/6352/916/944",14,"STA_vs_Unruptured","down","GO_BP"
"GO:0070661","leukocyte proliferation","16/142","341/18986",0.0469208211143695,6.27351203998183,8.53019310345128,5.78958706351904e-09,3.17488436537301e-07,2.51184076013273e-07,"6693/10077/26191/729230/22806/6480/1880/11151/923/3071/5588/5788/6352/916/3575/944",16,"STA_vs_Unruptured","down","GO_BP"
"GO:0045785","positive regulation of cell adhesion","19/142","499/18986",0.0380761523046092,5.09094244827684,8.03902440675666,6.15816033467657e-09,3.28813350501546e-07,2.60143892254343e-07,"1236/7409/6693/729230/342184/864/3561/939/11151/923/3071/3932/9806/5588/5788/6352/916/8631/3575",19,"STA_vs_Unruptured","down","GO_BP"
"GO:0046651","lymphocyte proliferation","15/142","297/18986",0.0505050505050505,6.75273865414711,8.67406679937901,6.64915682181962e-09,3.4592664593518e-07,2.73683243003372e-07,"6693/10077/26191/729230/22806/1880/11151/923/3071/5588/5788/6352/916/3575/944",15,"STA_vs_Unruptured","down","GO_BP"
