"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"AC007952.4",1.90340706682241e-13,-5.71123934696353,0.078,0.833,5.80063303614129e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PIM2",1.98601117212098e-13,-5.82844230093592,0.012,0.333,6.0523690470387e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CCL5",1.15619566310479e-12,-3.63367719154003,0.027,0.5,3.52350628331185e-08,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MEIKIN",1.18688257328596e-12,-9.39688523648403,0.003,0.167,3.61702464208897e-08,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"C1orf143",2.99428400087334e-12,-7.49424407143047,0.003,0.167,9.12508049266149e-08,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD48",3.87403887835945e-12,-5.31119290433916,0.029,0.5,1.18061334818004e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"JAML",4.38385266153127e-12,-4.33348871059088,0.013,0.333,1.33597909860165e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"KCNQ1",5.84119138071905e-12,-4.34622503488376,0.013,0.333,1.78010307327413e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"ITGAL",6.78681972121579e-12,-4.23039756569309,0.013,0.333,2.06828331004051e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GPSM3",8.39313265662183e-12,-3.89331460290455,0.029,0.5,2.5578071771055e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"ITK",1.74694436673571e-11,-3.39453710363011,0.029,0.5,5.32381295762706e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IL21R",1.77791768734719e-11,-5.41142467100201,0.003,0.167,5.41820415219057e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TMC8",1.88004772836356e-11,-3.86817647216161,0.013,0.333,5.72944545218796e-07,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
