"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"IFFO1",2.08342411660667e-05,0.711697938769989,0.105,0.062,0.634923499535884,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SLC30A6",2.09852687664287e-05,0.315635519613445,0.119,0.072,0.639526065656916,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"POLA1",2.10244130990247e-05,0.492788165586298,0.091,0.051,0.640718989192777,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"DNAJC11",2.12408104198965e-05,0.973180411283517,0.093,0.053,0.647313697546347,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TTC17",2.1498184881376e-05,-0.696980713467427,0.339,0.369,0.655157184259935,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"IFI44",2.18473587821704e-05,0.683346107265116,0.086,0.047,0.665798258886644,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"LIG1",2.2306606277353e-05,-0.923205110721657,0.029,0.054,0.679793826302334,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ERAP1",2.23272850349677e-05,-0.684968147776692,0.123,0.168,0.68042401144064,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"EPHB6",2.23335897149553e-05,0.950414688551258,0.066,0.032,0.680616146563262,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SUGP2",2.24009842519776e-05,0.343902550700361,0.167,0.114,0.682669995079016,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"FLVCR1",2.2406050333578e-05,-1.48078454069708,0.027,0.051,0.682824383915791,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"BET1L",2.24492072621628e-05,0.55643092243707,0.121,0.074,0.68413959131441,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
