"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"CFAP300",1.13337096267593e-22,1.04760558686195,0.076,0.015,3.4539480087549e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"IFT46",1.15565247115505e-22,2.04472713397421,0.073,0.013,3.52185090584502e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"TACO1",1.18991778245e-22,0.840556928642526,0.098,0.028,3.62627444201638e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"FBXO6",1.20399103682514e-22,1.27841286705307,0.077,0.016,3.66916268472461e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"SLC37A3",1.24054706409801e-22,0.210172845369811,0.161,0.07,3.78056717783869e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"ITFG1",1.28843401703046e-22,-0.427820868380963,0.374,0.215,3.92650266690033e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"CHORDC1",1.29439055382174e-22,-1.91296793977189,0.286,0.335,3.94465521277174e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"AC091563.1",1.33659740447757e-22,4.33806579858247,0.052,0.002,4.07328059014538e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"AC092821.3",1.37157361399205e-22,-1.85041941693402,0.056,0.116,4.17987058864076e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"PRDM8",1.37824367330514e-22,1.1213507322555,0.091,0.023,4.2001975943974e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CYB5D2",1.40493507270779e-22,0.725872487232609,0.116,0.04,4.28153963407699e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"ENTPD1",1.44453483260361e-22,-3.00758800952664,0.018,0.056,4.4022199023595e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"TMEM154",1.50072365270465e-22,-2.6056614636849,0.037,0.087,4.57345533161741e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"C12orf43",1.52378826693052e-22,0.944873919782772,0.103,0.031,4.64374474347077e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CENPO",1.60749903716054e-22,2.20772374786779,0.062,0.007,4.89885331574675e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
