"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0070972","protein localization to endoplasmic reticulum","37/4110","83/18986",0.44578313253012,2.05927945358075,5.08355298368896,2.51956225745646e-06,0.000129034631021213,0.000106956396088747,"287/120892/8733/10945/11015/8266/9697/65992/55973/58477/11345/9789/11079/6747/10134/10956/23471/6727/6726/28972/10952/60559/29927/6730/3309/11014/375056/11231/7095/6734/57142/207/4121/9709/130617/6728/23480",37,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:1990748","cellular detoxification","50/4110","125/18986",0.4,1.84778588807786,4.99852604080594,2.54922061312423e-06,0.000129492116998375,0.000107335604763125,"216/2878/10516/114757/6649/4257/1193/493869/4258/1356/128/9536/4056/4259/847/10966/2098/1728/10058/2950/2946/9973/10549/10327/84883/84293/2947/7837/55829/25824/2879/6415/7001/10935/9588/11315/5052/10587/51109/10314/140809/2176/7295/9446/373156/7296/9403/84817/4780/6647",50,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0007040","lysosome organization","46/4110","112/18986",0.410714285714286,1.89728015293709,5.00596979054375,2.69782258768684e-06,0.000134847964222939,0.000111775049527741,"8406/83871/5322/120892/252839/4669/84286/950/55353/2548/338382/23557/55004/3920/8804/51510/537/54664/10159/535/3074/27243/2896/1203/3073/3916/5538/57192/1201/51552/53/9296/55737/5119/84317/3257/79643/25978/8720/3988/64400/19/55858/440400/533/5532",46,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0080171","lytic vacuole organization","46/4110","112/18986",0.410714285714286,1.89728015293709,5.00596979054375,2.69782258768684e-06,0.000134847964222939,0.000111775049527741,"8406/83871/5322/120892/252839/4669/84286/950/55353/2548/338382/23557/55004/3920/8804/51510/537/54664/10159/535/3074/27243/2896/1203/3073/3916/5538/57192/1201/51552/53/9296/55737/5119/84317/3257/79643/25978/8720/3988/64400/19/55858/440400/533/5532",46,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0009101","glycoprotein biosynthetic process","105/4110","322/18986",0.326086956521739,1.50634719136782,4.81678326295012,2.89861028538463e-06,0.000143734262405422,0.000119140873885484,"117248/3479/81031/57452/114805/25834/389125/374907/53947/25825/55757/6484/11041/337876/80312/79070/113189/143888/727936/9452/9469/2650/7423/29926/90865/84752/54344/658/9945/957/2135/84892/22845/79644/29071/729920/79586/83857/3340/11285/9528/92126/55501/5372/6934/29925/9445/55343/84750/27090/8704/56548/746/440138/5074/10005/1603/23385/1798/2801/8705/200185/79053/85365/26229/7358/26301/1650/64689/9215/2218/10195/10329/29880/8869/30815/347734/199857/2132/8818/160418/9761/147991/58505/63941/11253/3703/100128731/91869/79087/23509/8985/9321/5238/29940/6185/2590/51006/9375/56913/10090/4121/55858/4245/6184",105,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0006486","protein glycosylation","78/4110","223/18986",0.349775784753363,1.61577689764656,4.86192002052217,2.99264456637784e-06,0.000146078462896318,0.000121083974231735,"117248/57452/114805/25834/374907/53947/55757/6484/11041/80312/79070/143888/727936/2650/7423/29926/84752/54344/9945/957/84892/22845/79644/29071/729920/83857/11285/9528/5372/29925/55343/84750/27090/8704/746/440138/1603/1798/2801/8705/200185/79053/85365/26229/26301/1650/64689/9215/2218/10195/10329/29880/8869/30815/199857/2132/8818/160418/9761/147991/58505/11253/3703/100128731/91869/79087/23509/8985/9321/5238/6185/2590/51006/56913/4121/55858/4245/6184",78,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0043413","macromolecule glycosylation","78/4110","223/18986",0.349775784753363,1.61577689764656,4.86192002052217,2.99264456637784e-06,0.000146078462896318,0.000121083974231735,"117248/57452/114805/25834/374907/53947/55757/6484/11041/80312/79070/143888/727936/2650/7423/29926/84752/54344/9945/957/84892/22845/79644/29071/729920/83857/11285/9528/5372/29925/55343/84750/27090/8704/746/440138/1603/1798/2801/8705/200185/79053/85365/26229/26301/1650/64689/9215/2218/10195/10329/29880/8869/30815/199857/2132/8818/160418/9761/147991/58505/11253/3703/100128731/91869/79087/23509/8985/9321/5238/6185/2590/51006/56913/4121/55858/4245/6184",78,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0003007","heart morphogenesis","92/4110","274/18986",0.335766423357664,1.55106114692667,4.82945468719971,3.02027806021948e-06,0.000146284475350785,0.000121254737301345,"10060/4886/6092/7481/94/6586/4487/11096/10395/23768/3764/652/6423/9510/6474/3037/1363/26508/2006/10252/10439/4488/23414/6591/2013/55273/8321/6608/144165/55742/3357/3280/8829/9353/6091/3491/129880/2627/8463/23493/6495/6604/7168/4669/6662/7474/10413/2535/7291/7049/4091/8195/2274/5311/55212/2548/5727/7472/10512/60485/6659/3643/3611/182/4208/5747/2022/9249/1289/8751/57178/7048/2296/55081/51098/657/4193/2280/23059/10269/26160/161882/1605/57493/7422/2697/57142/27031/2787/7046/200894/10959",92,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0007007","inner mitochondrial membrane organization","24/4110","45/18986",0.533333333333333,2.46371451743715,5.16706960554216,3.16240449965466e-06,0.000150829796288873,0.000125022339399766,"115209/790955/4580/10651/617/139322/26517/26521/65018/125988/140823/29928/8834/26519/440574/51079/25813/90580/84233/26515/27069/158234/26520/10367",24,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0010463","mesenchymal cell proliferation","24/4110","45/18986",0.533333333333333,2.46371451743715,5.16706960554216,3.16240449965466e-06,0.000150829796288873,0.000125022339399766,"2719/4781/7481/4487/2252/8646/652/6474/130497/5396/6608/2260/6495/6662/7474/4041/7472/5154/7048/4609/657/4000/23345/9678",24,"STA_vs_Ruptured_recurrent","up","GO_BP"
