"pseudotime_bin","pseudotime","program","mean_score","mean_score_z"
11,16.7557727492998,"ECM",1.59612928557208,0.463813331754298
11,16.7557727492998,"Contractile",0.349836489081649,0.273634708082748
12,17.4688708819133,"AMPK_SIRT1",0.494187456731332,0.783274687387543
12,17.4688708819133,"Inflammation",0.863742154589416,-0.341945239892359
12,17.4688708819133,"ECM",1.58186881279906,0.439776814794488
12,17.4688708819133,"Contractile",0.341679257684077,0.224961738712496
13,18.3873836870847,"AMPK_SIRT1",0.440878112305586,-0.0694449353414866
13,18.3873836870847,"Inflammation",0.822686559233833,-0.61450280259979
13,18.3873836870847,"ECM",1.5422627544104,0.373019442207871
13,18.3873836870847,"Contractile",0.35867587454626,0.32637798787973
14,19.8274401736785,"AMPK_SIRT1",0.402913469480707,-0.676715504045729
14,19.8274401736785,"Inflammation",0.795348472514958,-0.795993345378331
14,19.8274401736785,"ECM",1.49351369751901,0.290851231420283
14,19.8274401736785,"Contractile",0.359377538557141,0.330564711198622
15,25.6759168945972,"AMPK_SIRT1",0.320256905924022,-1.99886407764731
15,25.6759168945972,"Inflammation",0.807177933579,-0.717460588811709
15,25.6759168945972,"ECM",1.04843570246614,-0.459343025586601
15,25.6759168945972,"Contractile",0.25444428590711,-0.295556179974866
16,36.611653081405,"AMPK_SIRT1",0.350770334083524,-1.51078081140901
16,36.611653081405,"Inflammation",1.11960543253571,1.35666540792259
16,36.611653081405,"ECM",0.351058326831884,-1.6347965595345
16,36.611653081405,"Contractile",0.109754092975391,-1.15890073715367
17,39.7664056307778,"AMPK_SIRT1",0.364622747751436,-1.28920192905675
17,39.7664056307778,"Inflammation",1.19247003431345,1.84039480208149
17,39.7664056307778,"ECM",0.335825561897713,-1.66047190834745
17,39.7664056307778,"Contractile",0.130611229589751,-1.03444934891867
18,42.0339304861358,"AMPK_SIRT1",0.34772325765462,-1.55952089423821
18,42.0339304861358,"Inflammation",1.16117976667504,1.63266674430709
18,42.0339304861358,"ECM",0.314739179288079,-1.69601373092827
18,42.0339304861358,"Contractile",0.139736002632446,-0.980003204489096
19,44.3625365304088,"AMPK_SIRT1",0.388657760548395,-0.904745371481609
19,44.3625365304088,"Inflammation",1.17629506626351,1.73301333969179
19,44.3625365304088,"ECM",0.340755833046878,-1.65216176688303
19,44.3625365304088,"Contractile",0.144649254351644,-0.950686572560763
20,48.2412627752379,"AMPK_SIRT1",0.444243885004775,-0.0156070865147783
20,48.2412627752379,"Inflammation",1.18667693142327,1.80193587850274
20,48.2412627752379,"ECM",0.350294985219561,-1.63608319805643
20,48.2412627752379,"Contractile",0.11541906546632,-1.12509870076466
NA,NA,"AMPK_SIRT1",0.447362012288482,0.0342695035957364
NA,NA,"Inflammation",0.72836826323601,-1.24065776767178
NA,NA,"ECM",1.41791703444704,0.163430457722534
NA,NA,"Contractile",0.926563745109436,3.7148792553426
