"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","target_gene","source"
"GO:0031397","negative regulation of protein ubiquitination","6/137","81/18986",0.0740740740740741,10.2654771559881,7.1243194600397,2.6330167541845e-05,0.00503416081143222,0.00430722536466684,"3301/1407/3304/65125/4092/3303",6,"SIRT1","GO_BP"
"GO:1903037","regulation of leukocyte cell-cell adhesion","12/137","392/18986",0.0306122448979592,4.24236555936243,5.53018964841838,2.77146092646681e-05,0.00503416081143222,0.00430722536466684,"10808/6046/1236/7040/864/399/923/1604/65125/3659/4092/7805",12,"SIRT1","GO_BP"
"GO:0045619","regulation of lymphocyte differentiation","9/137","223/18986",0.0403587443946188,5.59307387646886,5.88201530415345,3.53224722812404e-05,0.00598753454445188,0.00512293143340109,"6046/7040/864/6655/814/673/399/3659/4092",9,"SIRT1","GO_BP"
"GO:0060324","face development","5/137","53/18986",0.0943396226415094,13.0739567552679,7.50411119047614,3.95040712765425e-05,0.00598753454445188,0.00512293143340109,"7040/673/29123/6497/5604",5,"SIRT1","GO_BP"
"GO:0042026","protein refolding","4/137","27/18986",0.148148148148148,20.5309543119762,8.65802947524234,4.00267743828871e-05,0.00598753454445188,0.00512293143340109,"3320/3301/3304/3303",4,"SIRT1","GO_BP"
"GO:0006402","mRNA catabolic process","11/137","356/18986",0.0308988764044944,4.2820880833265,5.32954619528443,5.56632046789894e-05,0.00751154759391865,0.00642687620366738,"56829/3304/246175/3183/22882/26986/10865/23112/27161/55544/3303",11,"SIRT1","GO_BP"
"GO:1903321","negative regulation of protein modification by small protein conjugation or removal","6/137","94/18986",0.0638297872340425,8.84578350675571,6.50103801604497,6.11865091362095e-05,0.00751154759391865,0.00642687620366738,"3301/1407/3304/65125/4092/3303",6,"SIRT1","GO_BP"
"GO:0034728","nucleosome organization","7/137","140/18986",0.05,6.92919708029197,6.0030469171813,7.06558146659625e-05,0.00751154759391865,0.00642687620366738,"6046/7994/11177/1105/1106/4678/64061",7,"SIRT1","GO_BP"
"GO:0032608","interferon-beta production","5/137","60/18986",0.0833333333333333,11.5486618004866,6.97694023982522,7.22048447462112e-05,0.00751154759391865,0.00642687620366738,"3320/56829/3659/5966/7187",5,"SIRT1","GO_BP"
"GO:0032648","regulation of interferon-beta production","5/137","60/18986",0.0833333333333333,11.5486618004866,6.97694023982522,7.22048447462112e-05,0.00751154759391865,0.00642687620366738,"3320/56829/3659/5966/7187",5,"SIRT1","GO_BP"
"GO:0090084","negative regulation of inclusion body assembly","3/137","12/18986",0.25,34.6459854014599,9.93953012117518,7.71013624976693e-05,0.00751154759391865,0.00642687620366738,"3337/3304/3303",3,"SIRT1","GO_BP"
"GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","3/137","12/18986",0.25,34.6459854014599,9.93953012117518,7.71013624976693e-05,0.00751154759391865,0.00642687620366738,"26986/23112/27161",3,"SIRT1","GO_BP"
"GO:1901874","negative regulation of post-translational protein modification","6/137","98/18986",0.0612244897959184,8.48473111872486,6.33311947744115,7.72605766174631e-05,0.00751154759391865,0.00642687620366738,"3301/1407/3304/65125/4092/3303",6,"SIRT1","GO_BP"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","4/137","32/18986",0.125,17.3229927007299,7.87854036694633,7.97529630498638e-05,0.00751154759391865,0.00642687620366738,"246175/26986/23112/27161",4,"SIRT1","GO_BP"
"GO:0051085","chaperone cofactor-dependent protein refolding","4/137","32/18986",0.125,17.3229927007299,7.87854036694633,7.97529630498638e-05,0.00751154759391865,0.00642687620366738,"10808/3337/3304/3303",4,"SIRT1","GO_BP"
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","3/137","13/18986",0.230769230769231,31.9809096013476,9.52619055153834,9.97026261704027e-05,0.00905513494111907,0.0077475687328655,"26986/23112/27161",3,"SIRT1","GO_BP"
"GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","3/137","14/18986",0.214285714285714,29.696558915537,9.15711586479085,0.000126224562521572,0.0110685883618055,0.00947027842947695,"3304/3303/7805",3,"SIRT1","GO_BP"
"GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening","3/137","15/18986",0.2,27.7167883211679,8.82482687417206,0.000156948275176039,0.0128748214120215,0.0110156904851909,"26986/23112/27161",3,"SIRT1","GO_BP"
"GO:0070424","regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","3/137","15/18986",0.2,27.7167883211679,8.82482687417206,0.000156948275176039,0.0128748214120215,0.0110156904851909,"330/3304/3303",3,"SIRT1","GO_BP"
"GO:0022409","positive regulation of cell-cell adhesion","10/137","336/18986",0.0297619047619048,4.12452207160236,4.92646321781319,0.000165948857137392,0.0131877482406371,0.0112834305165457,"10808/6046/1236/7040/864/288/399/923/1604/4092",10,"SIRT1","GO_BP"
"GO:0060323","head morphogenesis","4/137","39/18986",0.102564102564103,14.2137376005989,7.04221340017379,0.000175422004880127,0.0133368128967485,0.0114109701585691,"7040/673/29123/6497",4,"SIRT1","GO_BP"
"GO:0048872","homeostasis of number of cells","10/137","339/18986",0.0294985250737463,4.08802187627845,4.8909943272109,0.000178313660436276,0.0133368128967485,0.0114109701585691,"171023/1236/7040/3304/6655/6498/55904/23186/55690/3303",10,"SIRT1","GO_BP"
"GO:0002369","T cell cytokine production","4/137","40/18986",0.1,13.8583941605839,6.94031833241631,0.000193828312198631,0.0136918166089199,0.0117147111495488,"924/10865/1604/4092",4,"SIRT1","GO_BP"
"GO:0002724","regulation of T cell cytokine production","4/137","40/18986",0.1,13.8583941605839,6.94031833241631,0.000193828312198631,0.0136918166089199,0.0117147111495488,"924/10865/1604/4092",4,"SIRT1","GO_BP"
"GO:0033209","tumor necrosis factor-mediated signaling pathway","6/137","119/18986",0.0504201680672269,6.98742562718518,5.58577727638385,0.00022510951479691,0.0154717161115822,0.0132375922357102,"330/3304/7185/7187/3303/7805",6,"SIRT1","GO_BP"
"GO:0046634","regulation of alpha-beta T cell activation","6/137","122/18986",0.0491803278688525,6.81560368553309,5.49388104423072,0.000257635840441841,0.0172412616379895,0.0147516144651879,"10808/6046/864/1604/3659/4092",6,"SIRT1","GO_BP"
"GO:0030098","lymphocyte differentiation","11/137","426/18986",0.0258215962441315,3.57845858606628,4.58878173579842,0.000268522322119593,0.0174635151416772,0.0149417744470256,"6046/1236/7040/864/6655/814/673/399/3659/4092/6775",11,"SIRT1","GO_BP"
"GO:0090083","regulation of inclusion body assembly","3/137","18/18986",0.166666666666667,23.0973236009732,7.99625407142285,0.000277043335010393,0.0174635151416772,0.0149417744470256,"3337/3304/3303",3,"SIRT1","GO_BP"
"GO:0051084","'de novo' post-translational protein folding","4/137","44/18986",0.0909090909090909,12.5985401459854,6.56656396749772,0.000281558836338484,0.0174635151416772,0.0149417744470256,"10808/3337/3304/3303",4,"SIRT1","GO_BP"
"GO:0002718","regulation of cytokine production involved in immune response","6/137","126/18986",0.0476190476190476,6.59923531456378,5.37606579360592,0.000306631420956826,0.0184490816735503,0.0157850246576685,"7040/924/10865/1604/4092/7805",6,"SIRT1","GO_BP"
"GO:0002028","regulation of sodium ion transport","5/137","82/18986",0.0609756097560976,8.45024034181948,5.76397093389849,0.000317776549017911,0.0184490816735503,0.0157850246576685,"7040/288/483/65125/54800",5,"SIRT1","GO_BP"
"GO:0002367","cytokine production involved in immune response","6/137","127/18986",0.047244094488189,6.54727283177194,5.34740999718958,0.000319952433849805,0.0184490816735503,0.0157850246576685,"7040/924/10865/1604/4092/7805",6,"SIRT1","GO_BP"
"GO:0032479","regulation of type I interferon production","6/137","128/18986",0.046875,6.49612226277372,5.31906112813369,0.000333723066057143,0.0184490816735503,0.0157850246576685,"3320/56829/54941/3659/5966/7187",6,"SIRT1","GO_BP"
"GO:0032606","type I interferon production","6/137","128/18986",0.046875,6.49612226277372,5.31906112813369,0.000333723066057143,0.0184490816735503,0.0157850246576685,"3320/56829/54941/3659/5966/7187",6,"SIRT1","GO_BP"
"GO:0035710","CD4-positive, alpha-beta T cell activation","6/137","129/18986",0.0465116279069767,6.445764725853,5.29101333677392,0.000347953931634625,0.0188265286839756,0.0161079681229288,"6046/864/673/1604/4092/6775",6,"SIRT1","GO_BP"
"GO:0046632","alpha-beta T cell differentiation","6/137","133/18986",0.0451127819548872,6.25190714011306,5.18172132161397,0.000409696519640598,0.0217053801967925,0.018571111975814,"6046/864/673/3659/4092/6775",6,"SIRT1","GO_BP"
"GO:0006458","'de novo' protein folding","4/137","49/18986",0.0816326530612245,11.3129748249665,6.1623709154674,0.000427369602564392,0.0221796101902296,0.0189768629108614,"10808/3337/3304/3303",4,"SIRT1","GO_BP"
"GO:0039535","regulation of RIG-I signaling pathway","3/137","21/18986",0.142857142857143,19.7977059436913,7.34783681211857,0.000444455449133832,0.0226050041429467,0.0193408297549396,"56829/330/54941",3,"SIRT1","GO_BP"
"GO:0002218","activation of innate immune response","9/137","317/18986",0.028391167192429,3.93455985631721,4.49193540736209,0.000497807248085807,0.024822035919259,0.0212377209864471,"3320/56829/330/3304/54941/10614/3659/7187/3303",9,"SIRT1","GO_BP"
"GO:0010171","body morphogenesis","4/137","52/18986",0.0769230769230769,10.6603032004492,5.94692785663866,0.000537024022210881,0.0262625401631206,0.0224702156661921,"7040/673/29123/6497",4,"SIRT1","GO_BP"
