"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status","axis","lr_axis","focus_hit"
"Fibroblast","VSMC","COL6A3","ITGA1_ITGB1",0.00220294857790432,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL6A3-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL6A1","ITGA1_ITGB1",0.00216707440842895,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL6A1-ITGA1_ITGB1",TRUE
"EC","VSMC","FN1","ITGA8_ITGB1",0.00139161323065999,0,"FN1_ITGA8_ITGB1","FN1 - (ITGA8+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","STA","EC -> VSMC","FN1-ITGA8_ITGB1",TRUE
"Fibroblast","VSMC","FN1","ITGA8_ITGB1",0.00135412825282188,0,"FN1_ITGA8_ITGB1","FN1 - (ITGA8+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","FN1-ITGA8_ITGB1",TRUE
"EC","VSMC","FN1","CD44",0.00134618922396491,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512","STA","EC -> VSMC","FN1-CD44",TRUE
"Fibroblast","VSMC","FN1","CD44",0.00130988879381717,0.02,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","FN1-CD44",TRUE
"Fibroblast","VSMC","LAMC1","CD44",0.00126520652161945,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMC1-CD44",TRUE
"Fibroblast","VSMC","LAMC1","ITGA1_ITGB1",0.00123118897945743,0,"LAMC1_ITGA1_ITGB1","LAMC1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMC1-ITGA1_ITGB1",TRUE
"EC","VSMC","FN1","ITGAV_ITGB1",0.00116692616916364,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","STA","EC -> VSMC","FN1-ITGAV_ITGB1",TRUE
"Fibroblast","VSMC","FN1","ITGAV_ITGB1",0.00113532619814934,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","FN1-ITGAV_ITGB1",TRUE
