"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status"
"Fibroblast","Macrophage","CSF1","CSF1R",0.000105386851161581,0,"CSF1_CSF1R","CSF1 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","VSMC","TNF","TNFRSF1A",7.5152931591592e-05,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","Macrophage","TNF","TNFRSF1A",0.000111461095765624,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","EC","TNF","TNFRSF1A",0.00030159836841604,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","Fibroblast","TNF","TNFRSF1A",0.000251543281732835,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","Macrophage","TNF","TNFRSF1B",0.000138012286687714,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","EC","TNF","TNFRSF1B",7.63948855415487e-05,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"T_NK","T_NK","TNF","TNFRSF1B",9.73223870403879e-05,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","VSMC","TNFSF12","TNFRSF12A",0.000257316207394994,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060","STA"
"Macrophage","VSMC","TNFSF12","TNFRSF12A",8.39302635995796e-05,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060","STA"
"EC","VSMC","TNFSF12","TNFRSF12A",0.000110223877675561,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060","STA"
"Fibroblast","VSMC","TNFSF12","TNFRSF12A",0.000111063750601941,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","VSMC","SPP1","CD44",0.00024342381607673,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","Macrophage","SPP1","CD44",0.000455881020378856,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","Fibroblast","SPP1","CD44",0.000264522581825174,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","T_NK","SPP1","CD44",0.000376721317769508,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","VSMC","SPP1","ITGAV_ITGB1",0.000210258018592915,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","EC","SPP1","ITGAV_ITGB1",0.00021957676000647,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","STA"
