"tf","tf_group","NES","sample","status","vsmc_state","cells"
"ARNTL","STA2--STA--synthetic VSMC",1.4529633610676,"STA2","STA","synthetic VSMC",1620
"ARNTL","STA3--STA--contractile VSMC",1.85081054346515,"STA3","STA","contractile VSMC",25
"ASCL1","ACom-RR--Ruptured--contractile VSMC",-0.733739299112194,"ACom_RR","Ruptured","contractile VSMC",32
"ASCL1","ACom-RR--Ruptured--inflammatory VSMC",-1.51522491711894,"ACom_RR","Ruptured","inflammatory VSMC",945
"ASCL1","ACom-RR--Ruptured--metabolic-stress VSMC",-0.568332492353956,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ASCL1","MCA-R1--Ruptured--inflammatory VSMC",-1.11852294889835,"MCA_R1","Ruptured","inflammatory VSMC",534
"ASCL1","MCA-R2--Ruptured--contractile VSMC",-1.36692835383933,"MCA_R2","Ruptured","contractile VSMC",182
"ASCL1","MCA-R2--Ruptured--inflammatory VSMC",-1.33006561147536,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ASCL1","MCA-R2--Ruptured--metabolic-stress VSMC",-0.732359336694642,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ASCL1","MCA-R2--Ruptured--synthetic VSMC",-0.527327156901582,"MCA_R2","Ruptured","synthetic VSMC",29
"ASCL1","STA1--STA--ECM-remodeling VSMC",-1.58643274978496,"STA1","STA","ECM-remodeling VSMC",637
"ASCL1","STA1--STA--contractile VSMC",-2.22768960011548,"STA1","STA","contractile VSMC",1019
"ASCL1","STA1--STA--inflammatory VSMC",-0.887578952903274,"STA1","STA","inflammatory VSMC",148
"ASCL1","STA1--STA--metabolic-stress VSMC",-2.17055661383492,"STA1","STA","metabolic-stress VSMC",1432
"ASCL1","STA1--STA--synthetic VSMC",-2.38383446440285,"STA1","STA","synthetic VSMC",1049
"ASCL1","STA2--STA--ECM-remodeling VSMC",-1.6787386071296,"STA2","STA","ECM-remodeling VSMC",459
"ASCL1","STA2--STA--contractile VSMC",-2.39189896745153,"STA2","STA","contractile VSMC",989
"ASCL1","STA2--STA--inflammatory VSMC",-1.23235657016613,"STA2","STA","inflammatory VSMC",378
"ASCL1","STA2--STA--metabolic-stress VSMC",-2.46965126163429,"STA2","STA","metabolic-stress VSMC",943
"ASCL1","STA2--STA--synthetic VSMC",-2.48986310536474,"STA2","STA","synthetic VSMC",1620
"ASCL1","STA3--STA--contractile VSMC",-0.937508203731609,"STA3","STA","contractile VSMC",25
"ATF1","ACom-RR--Ruptured--contractile VSMC",-0.408206280993732,"ACom_RR","Ruptured","contractile VSMC",32
"ATF1","ACom-RR--Ruptured--inflammatory VSMC",-0.212519920613752,"ACom_RR","Ruptured","inflammatory VSMC",945
"ATF1","ACom-RR--Ruptured--metabolic-stress VSMC",0.0501690369346026,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ATF1","MCA-R1--Ruptured--inflammatory VSMC",-0.92208992739804,"MCA_R1","Ruptured","inflammatory VSMC",534
"ATF1","MCA-R2--Ruptured--contractile VSMC",0.1315491837709,"MCA_R2","Ruptured","contractile VSMC",182
"ATF1","MCA-R2--Ruptured--inflammatory VSMC",-0.719620084658029,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ATF1","MCA-R2--Ruptured--metabolic-stress VSMC",-0.533793655481657,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ATF1","MCA-R2--Ruptured--synthetic VSMC",0.293821094220019,"MCA_R2","Ruptured","synthetic VSMC",29
"ATF1","STA1--STA--ECM-remodeling VSMC",-1.35031175649365,"STA1","STA","ECM-remodeling VSMC",637
"ATF1","STA1--STA--contractile VSMC",-1.00772989271169,"STA1","STA","contractile VSMC",1019
"ATF1","STA1--STA--inflammatory VSMC",-0.567926867429646,"STA1","STA","inflammatory VSMC",148
"ATF1","STA1--STA--metabolic-stress VSMC",-0.961673325926951,"STA1","STA","metabolic-stress VSMC",1432
"ATF1","STA1--STA--synthetic VSMC",-1.04500086104238,"STA1","STA","synthetic VSMC",1049
"ATF1","STA2--STA--ECM-remodeling VSMC",-0.602140094251333,"STA2","STA","ECM-remodeling VSMC",459
"ATF1","STA2--STA--contractile VSMC",-0.213282832507028,"STA2","STA","contractile VSMC",989
"ATF1","STA2--STA--inflammatory VSMC",-0.674523248162159,"STA2","STA","inflammatory VSMC",378
"ATF1","STA2--STA--metabolic-stress VSMC",-0.511461916346385,"STA2","STA","metabolic-stress VSMC",943
"ATF1","STA2--STA--synthetic VSMC",-0.665090950743329,"STA2","STA","synthetic VSMC",1620
"ATF1","STA3--STA--contractile VSMC",0.835565860823156,"STA3","STA","contractile VSMC",25
"ATF2","ACom-RR--Ruptured--contractile VSMC",4.92072226211589,"ACom_RR","Ruptured","contractile VSMC",32
"ATF2","ACom-RR--Ruptured--inflammatory VSMC",2.88523884156366,"ACom_RR","Ruptured","inflammatory VSMC",945
"ATF2","ACom-RR--Ruptured--metabolic-stress VSMC",4.25131074704693,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ATF2","MCA-R1--Ruptured--inflammatory VSMC",2.02994578458975,"MCA_R1","Ruptured","inflammatory VSMC",534
"ATF2","MCA-R2--Ruptured--contractile VSMC",3.36655775898659,"MCA_R2","Ruptured","contractile VSMC",182
"ATF2","MCA-R2--Ruptured--inflammatory VSMC",3.57961337632414,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ATF2","MCA-R2--Ruptured--metabolic-stress VSMC",4.18281731930519,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ATF2","MCA-R2--Ruptured--synthetic VSMC",2.86725380031493,"MCA_R2","Ruptured","synthetic VSMC",29
"ATF2","STA1--STA--ECM-remodeling VSMC",1.32147212457721,"STA1","STA","ECM-remodeling VSMC",637
"ATF2","STA1--STA--contractile VSMC",2.33493167552236,"STA1","STA","contractile VSMC",1019
"ATF2","STA1--STA--inflammatory VSMC",2.39449494478895,"STA1","STA","inflammatory VSMC",148
"ATF2","STA1--STA--metabolic-stress VSMC",2.66019830308962,"STA1","STA","metabolic-stress VSMC",1432
"ATF2","STA1--STA--synthetic VSMC",2.17015662953144,"STA1","STA","synthetic VSMC",1049
"ATF2","STA2--STA--ECM-remodeling VSMC",3.05451602699022,"STA2","STA","ECM-remodeling VSMC",459
"ATF2","STA2--STA--contractile VSMC",3.48600057215064,"STA2","STA","contractile VSMC",989
"ATF2","STA2--STA--inflammatory VSMC",3.57460044036305,"STA2","STA","inflammatory VSMC",378
"ATF2","STA2--STA--metabolic-stress VSMC",3.74228074129255,"STA2","STA","metabolic-stress VSMC",943
"ATF2","STA2--STA--synthetic VSMC",3.36346938431469,"STA2","STA","synthetic VSMC",1620
"ATF2","STA3--STA--contractile VSMC",3.77389923724007,"STA3","STA","contractile VSMC",25
"ATF3","ACom-RR--Ruptured--contractile VSMC",-4.35609143991337,"ACom_RR","Ruptured","contractile VSMC",32
"ATF3","ACom-RR--Ruptured--inflammatory VSMC",-5.64264501152243,"ACom_RR","Ruptured","inflammatory VSMC",945
"ATF3","ACom-RR--Ruptured--metabolic-stress VSMC",-5.86390475438258,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ATF3","MCA-R1--Ruptured--inflammatory VSMC",-5.59317157621294,"MCA_R1","Ruptured","inflammatory VSMC",534
"ATF3","MCA-R2--Ruptured--contractile VSMC",-4.75972927154542,"MCA_R2","Ruptured","contractile VSMC",182
