"regulon","status","vsmc_state","mean_AUC"
"BHLHE40_extended (477g)","Ruptured","metabolic-stress VSMC",0.285883176332615
"BHLHE40_extended (477g)","STA","contractile VSMC",0.132830268981954
"BHLHE40_extended (477g)","STA","synthetic VSMC",0.130687776642833
"BHLHE40_extended (477g)","STA","inflammatory VSMC",0.165863976847123
"BHLHE40_extended (477g)","STA","ECM-remodeling VSMC",0.129923391215526
"BHLHE40_extended (477g)","STA","metabolic-stress VSMC",0.146366189989785
"BPTF (145g)","Ruptured","contractile VSMC",0.0225023662040464
"BPTF (145g)","Ruptured","synthetic VSMC",0.0269715754992779
"BPTF (145g)","Ruptured","inflammatory VSMC",0.130732039496084
"BPTF (145g)","Ruptured","ECM-remodeling VSMC",0.0719803370786517
"BPTF (145g)","Ruptured","metabolic-stress VSMC",0.0143877917754322
"BPTF (145g)","STA","contractile VSMC",0.0208103506979911
"BPTF (145g)","STA","synthetic VSMC",0.0271229145386449
"BPTF (145g)","STA","inflammatory VSMC",0.100949948927477
"BPTF (145g)","STA","ECM-remodeling VSMC",0.0581307456588355
"BPTF (145g)","STA","metabolic-stress VSMC",0.0199080694586313
"BRF1_extended (37g)","Ruptured","contractile VSMC",0.00277531791293259
"BRF1_extended (37g)","Ruptured","synthetic VSMC",0.00539209159898815
"BRF1_extended (37g)","Ruptured","inflammatory VSMC",0.0336473616473616
"BRF1_extended (37g)","Ruptured","ECM-remodeling VSMC",0.00764157014157014
"BRF1_extended (37g)","Ruptured","metabolic-stress VSMC",0.000836550836550837
"BRF1_extended (37g)","STA","contractile VSMC",0.0019034749034749
"BRF1_extended (37g)","STA","synthetic VSMC",0.000633204633204633
"BRF1_extended (37g)","STA","inflammatory VSMC",0.018984555984556
"BRF1_extended (37g)","STA","ECM-remodeling VSMC",0.00447876447876448
"BRF1_extended (37g)","STA","metabolic-stress VSMC",0.000936936936936937
"BRF2_extended (24g)","Ruptured","contractile VSMC",0.00651845855569547
"BRF2_extended (24g)","Ruptured","synthetic VSMC",0.00510855683269476
"BRF2_extended (24g)","Ruptured","inflammatory VSMC",0.00161401597676107
"BRF2_extended (24g)","Ruptured","ECM-remodeling VSMC",0.0041757443718228
"BRF2_extended (24g)","Ruptured","metabolic-stress VSMC",0.00232490115387719
"BRF2_extended (24g)","STA","contractile VSMC",0.0192592592592593
"BRF2_extended (24g)","STA","synthetic VSMC",0.0182516339869281
"BRF2_extended (24g)","STA","inflammatory VSMC",0.00308823529411765
"BRF2_extended (24g)","STA","ECM-remodeling VSMC",0.014640522875817
"BRF2_extended (24g)","STA","metabolic-stress VSMC",0.0219789397240378
"CEBPB (581g)","Ruptured","contractile VSMC",0.414617518343938
"CEBPB (581g)","Ruptured","synthetic VSMC",0.413801909055687
"CEBPB (581g)","Ruptured","inflammatory VSMC",0.308379298604018
"CEBPB (581g)","Ruptured","ECM-remodeling VSMC",0.465504766768812
"CEBPB (581g)","Ruptured","metabolic-stress VSMC",0.449204119850187
"CEBPB (581g)","STA","contractile VSMC",0.352412325502213
"CEBPB (581g)","STA","synthetic VSMC",0.356966292134831
"CEBPB (581g)","STA","inflammatory VSMC",0.314587163772557
"CEBPB (581g)","STA","ECM-remodeling VSMC",0.360017875383044
"CEBPB (581g)","STA","metabolic-stress VSMC",0.363008171603677
"CEBPB_extended (1038g)","Ruptured","contractile VSMC",0.700156263178117
"CEBPB_extended (1038g)","Ruptured","synthetic VSMC",0.695114649008489
"CEBPB_extended (1038g)","Ruptured","inflammatory VSMC",0.467740892066735
"CEBPB_extended (1038g)","Ruptured","ECM-remodeling VSMC",0.731369169220293
"CEBPB_extended (1038g)","Ruptured","metabolic-stress VSMC",0.735352116672341
"CEBPB_extended (1038g)","STA","contractile VSMC",0.631514300306435
"CEBPB_extended (1038g)","STA","synthetic VSMC",0.636921178072863
"CEBPB_extended (1038g)","STA","inflammatory VSMC",0.489889342866871
"CEBPB_extended (1038g)","STA","ECM-remodeling VSMC",0.641419816138917
"CEBPB_extended (1038g)","STA","metabolic-stress VSMC",0.644955737146748
"CEBPD (45g)","Ruptured","contractile VSMC",0.0672134185895654
"CEBPD (45g)","Ruptured","synthetic VSMC",0.0814582607686056
"CEBPD (45g)","Ruptured","inflammatory VSMC",0.00926599326599327
"CEBPD (45g)","Ruptured","ECM-remodeling VSMC",0.0691217732884399
"CEBPD (45g)","Ruptured","metabolic-stress VSMC",0.0586731512657439
"CEBPD (45g)","STA","contractile VSMC",0.129409652076319
"CEBPD (45g)","STA","synthetic VSMC",0.122472502805836
"CEBPD (45g)","STA","inflammatory VSMC",0.0137934904601571
"CEBPD (45g)","STA","ECM-remodeling VSMC",0.137159371492705
"CEBPD (45g)","STA","metabolic-stress VSMC",0.13683164983165
"CEBPD_extended (290g)","Ruptured","contractile VSMC",0.331090515504493
"CEBPD_extended (290g)","Ruptured","synthetic VSMC",0.375479905603889
"CEBPD_extended (290g)","Ruptured","inflammatory VSMC",0.114324991487913
"CEBPD_extended (290g)","Ruptured","ECM-remodeling VSMC",0.39634405856316
"CEBPD_extended (290g)","Ruptured","metabolic-stress VSMC",0.304846214958575
"CEBPD_extended (290g)","STA","contractile VSMC",0.50424582907729
"CEBPD_extended (290g)","STA","synthetic VSMC",0.532880490296221
"CEBPD_extended (290g)","STA","inflammatory VSMC",0.153379298604018
"CEBPD_extended (290g)","STA","ECM-remodeling VSMC",0.555282601293837
"CEBPD_extended (290g)","STA","metabolic-stress VSMC",0.532740040858018
"CEBPG_extended (35g)","Ruptured","contractile VSMC",0.00436564340169457
"CEBPG_extended (35g)","Ruptured","synthetic VSMC",0.00219246513564143
"CEBPG_extended (35g)","Ruptured","inflammatory VSMC",0.00351307847082495
"CEBPG_extended (35g)","Ruptured","ECM-remodeling VSMC",0.0022468142186452
"CEBPG_extended (35g)","Ruptured","metabolic-stress VSMC",0.00550339071465832
"CEBPG_extended (35g)","STA","contractile VSMC",0.0146800804828974
"CEBPG_extended (35g)","STA","synthetic VSMC",0.0133105298457411
"CEBPG_extended (35g)","STA","inflammatory VSMC",0.00636217303822938
"CEBPG_extended (35g)","STA","ECM-remodeling VSMC",0.014430583501006
"CEBPG_extended (35g)","STA","metabolic-stress VSMC",0.0218725687458082
"CREB1_extended (311g)","Ruptured","contractile VSMC",0.036106868082953
"CREB1_extended (311g)","Ruptured","synthetic VSMC",0.0492585678560107
"CREB1_extended (311g)","Ruptured","inflammatory VSMC",0.15395216207014
"CREB1_extended (311g)","Ruptured","ECM-remodeling VSMC",0.0865466462376575
"CREB1_extended (311g)","Ruptured","metabolic-stress VSMC",0.0380419362160935
"CREB1_extended (311g)","STA","contractile VSMC",0.0146331290432414
"CREB1_extended (311g)","STA","synthetic VSMC",0.0121978209056861
"CREB1_extended (311g)","STA","inflammatory VSMC",0.113903643173306
"CREB1_extended (311g)","STA","ECM-remodeling VSMC",0.0474489274770174
"CREB1_extended (311g)","STA","metabolic-stress VSMC",0.0107907728975145
"CREB3_extended (31g)","Ruptured","contractile VSMC",0.00556215464573697
"CREB3_extended (31g)","Ruptured","synthetic VSMC",0.00440367531656178
"CREB3_extended (31g)","Ruptured","inflammatory VSMC",0.00182648401826484
"CREB3_extended (31g)","Ruptured","ECM-remodeling VSMC",0.00327736043599941
"CREB3_extended (31g)","Ruptured","metabolic-stress VSMC",0.0130317016088116
"CREB3_extended (31g)","STA","contractile VSMC",0.00250257769921933
"CREB3_extended (31g)","STA","synthetic VSMC",0.00110030932390632
"CREB3_extended (31g)","STA","inflammatory VSMC",0.00251730740904404
"CREB3_extended (31g)","STA","ECM-remodeling VSMC",0.0064309913094712
"CREB3_extended (31g)","STA","metabolic-stress VSMC",0.00156429518338489
"CREB5_extended (66g)","Ruptured","contractile VSMC",0.056830391692777
"CREB5_extended (66g)","Ruptured","synthetic VSMC",0.0659625142383763
"CREB5_extended (66g)","Ruptured","inflammatory VSMC",0.0486286286286286
"CREB5_extended (66g)","Ruptured","ECM-remodeling VSMC",0.0921375921375921
"CREB5_extended (66g)","Ruptured","metabolic-stress VSMC",0.0650777039665929
"CREB5_extended (66g)","STA","contractile VSMC",0.0596414596414596
"CREB5_extended (66g)","STA","synthetic VSMC",0.0725652925652926
"CREB5_extended (66g)","STA","inflammatory VSMC",0.0650869050869051
"CREB5_extended (66g)","STA","ECM-remodeling VSMC",0.0573000273000273
"CREB5_extended (66g)","STA","metabolic-stress VSMC",0.0709409409409409
"CREM_extended (198g)","Ruptured","contractile VSMC",0.0702352615943998
"CREM_extended (198g)","Ruptured","synthetic VSMC",0.0640960163432074
"CREM_extended (198g)","Ruptured","inflammatory VSMC",0.249033026898195
"CREM_extended (198g)","Ruptured","ECM-remodeling VSMC",0.0884831460674157
"CREM_extended (198g)","Ruptured","metabolic-stress VSMC",0.0911620890553475
"CREM_extended (198g)","STA","contractile VSMC",0.0357992849846782
"CREM_extended (198g)","STA","synthetic VSMC",0.0312606401089547
"CREM_extended (198g)","STA","inflammatory VSMC",0.2011278515492
"CREM_extended (198g)","STA","ECM-remodeling VSMC",0.0310069799114743
"CREM_extended (198g)","STA","metabolic-stress VSMC",0.0361448757235274
"CTCF_extended (149g)","Ruptured","contractile VSMC",0.0113460655415093
"CTCF_extended (149g)","Ruptured","synthetic VSMC",0.0122133774787785
"CTCF_extended (149g)","Ruptured","inflammatory VSMC",0.0654843377596187
"CTCF_extended (149g)","Ruptured","ECM-remodeling VSMC",0.0294199012597889
"CTCF_extended (149g)","Ruptured","metabolic-stress VSMC",0.00707921915787084
"CTCF_extended (149g)","STA","contractile VSMC",0.0059805924412666
"CTCF_extended (149g)","STA","synthetic VSMC",0.0035291113381001
"CTCF_extended (149g)","STA","inflammatory VSMC",0.0536738168198842
"CTCF_extended (149g)","STA","ECM-remodeling VSMC",0.0132235274089207
"CTCF_extended (149g)","STA","metabolic-stress VSMC",0.00425348995573715
"CUX1 (211g)","Ruptured","contractile VSMC",0.0639753633646016
"CUX1 (211g)","Ruptured","synthetic VSMC",0.0722059807685534
"CUX1 (211g)","Ruptured","inflammatory VSMC",0.162693224378618
"CUX1 (211g)","Ruptured","ECM-remodeling VSMC",0.13923646578141
"CUX1 (211g)","Ruptured","metabolic-stress VSMC",0.0641125676238036
"CUX1 (211g)","STA","contractile VSMC",0.03050987402111
"CUX1 (211g)","STA","synthetic VSMC",0.0236031664964249
"CUX1 (211g)","STA","inflammatory VSMC",0.117965611167858
"CUX1 (211g)","STA","ECM-remodeling VSMC",0.052531494722506
"CUX1 (211g)","STA","metabolic-stress VSMC",0.030956758597208
"CUX1_extended (424g)","Ruptured","contractile VSMC",0.135018882776846
"CUX1_extended (424g)","Ruptured","synthetic VSMC",0.150848860554401
"CUX1_extended (424g)","Ruptured","inflammatory VSMC",0.351956928838951
"CUX1_extended (424g)","Ruptured","ECM-remodeling VSMC",0.261587078651685
"CUX1_extended (424g)","Ruptured","metabolic-stress VSMC",0.143650928763288
"CUX1_extended (424g)","STA","contractile VSMC",0.0467585972080354
"CUX1_extended (424g)","STA","synthetic VSMC",0.0339572693224379
"CUX1_extended (424g)","STA","inflammatory VSMC",0.248560606060606
"CUX1_extended (424g)","STA","ECM-remodeling VSMC",0.0858580183861083
"CUX1_extended (424g)","STA","metabolic-stress VSMC",0.0424114742934968
"DDIT3_extended (60g)","Ruptured","contractile VSMC",0.0313089730520923
"DDIT3_extended (60g)","Ruptured","synthetic VSMC",0.0248157972295903
"DDIT3_extended (60g)","Ruptured","inflammatory VSMC",0.0346068376068376
"DDIT3_extended (60g)","Ruptured","ECM-remodeling VSMC",0.031184710351377
"DDIT3_extended (60g)","Ruptured","metabolic-stress VSMC",0.0360952833175055
"DDIT3_extended (60g)","STA","contractile VSMC",0.026045584045584
"DDIT3_extended (60g)","STA","synthetic VSMC",0.02370465337132
"DDIT3_extended (60g)","STA","inflammatory VSMC",0.036037037037037
"DDIT3_extended (60g)","STA","ECM-remodeling VSMC",0.0224881291547958
"DDIT3_extended (60g)","STA","metabolic-stress VSMC",0.0283228869895537
"E2F6_extended (84g)","Ruptured","contractile VSMC",0.00589592412202
"E2F6_extended (84g)","Ruptured","synthetic VSMC",0.00859196138921055
"E2F6_extended (84g)","Ruptured","inflammatory VSMC",0.0031957617704862
"E2F6_extended (84g)","Ruptured","ECM-remodeling VSMC",0.010905323421345
"E2F6_extended (84g)","Ruptured","metabolic-stress VSMC",0.00288387592924891
"E2F6_extended (84g)","STA","contractile VSMC",0.00262325899342049
"E2F6_extended (84g)","STA","synthetic VSMC",0.00121592753994702
"E2F6_extended (84g)","STA","inflammatory VSMC",0.00626078783217978
"E2F6_extended (84g)","STA","ECM-remodeling VSMC",0.00430231564556097
"E2F6_extended (84g)","STA","metabolic-stress VSMC",0.00198667008459369
"EBF1 (32g)","Ruptured","contractile VSMC",0.0206204523884847
"EBF1 (32g)","Ruptured","synthetic VSMC",0.0310493460166468
"EBF1 (32g)","Ruptured","inflammatory VSMC",0.0177327586206897
"EBF1 (32g)","Ruptured","ECM-remodeling VSMC",0.0926903735632184
"EBF1 (32g)","Ruptured","metabolic-stress VSMC",0.010257024265645
"EBF1 (32g)","STA","contractile VSMC",0.0319468390804598
"EBF1 (32g)","STA","synthetic VSMC",0.0357155172413793
"EBF1 (32g)","STA","inflammatory VSMC",0.0243807471264368
"EBF1 (32g)","STA","ECM-remodeling VSMC",0.09925
"EBF1 (32g)","STA","metabolic-stress VSMC",0.030948275862069
"EGR1 (21g)","Ruptured","contractile VSMC",0.0525394585027613
"EGR1 (21g)","Ruptured","synthetic VSMC",0.0606290261462675
"EGR1 (21g)","Ruptured","inflammatory VSMC",0.057960927960928
"EGR1 (21g)","Ruptured","ECM-remodeling VSMC",0.0830535205535206
"EGR1 (21g)","Ruptured","metabolic-stress VSMC",0.070184959073848
"EGR1 (21g)","STA","contractile VSMC",0.0821102971102971
"EGR1 (21g)","STA","synthetic VSMC",0.0812922262922263
"EGR1 (21g)","STA","inflammatory VSMC",0.0974501424501425
"EGR1 (21g)","STA","ECM-remodeling VSMC",0.0736792836792837
"EGR1 (21g)","STA","metabolic-stress VSMC",0.0840638990638991
"EGR1_extended (717g)","Ruptured","contractile VSMC",0.456840203915248
"EGR1_extended (717g)","Ruptured","synthetic VSMC",0.484634215068155
"EGR1_extended (717g)","Ruptured","inflammatory VSMC",0.291871807967314
"EGR1_extended (717g)","Ruptured","ECM-remodeling VSMC",0.555541368743616
"EGR1_extended (717g)","Ruptured","metabolic-stress VSMC",0.459787481557144
"EGR1_extended (717g)","STA","contractile VSMC",0.445757575757576
"EGR1_extended (717g)","STA","synthetic VSMC",0.467328055839292
"EGR1_extended (717g)","STA","inflammatory VSMC",0.32312734082397
"EGR1_extended (717g)","STA","ECM-remodeling VSMC",0.479964249233912
"EGR1_extended (717g)","STA","metabolic-stress VSMC",0.46445011916922
"EGR2 (54g)","Ruptured","contractile VSMC",0.0324650749055911
"EGR2 (54g)","Ruptured","synthetic VSMC",0.042685522640667
"EGR2 (54g)","Ruptured","inflammatory VSMC",0.036273210880257
"EGR2 (54g)","Ruptured","ECM-remodeling VSMC",0.0289947806885476
"EGR2 (54g)","Ruptured","metabolic-stress VSMC",0.0487358783052851
"EGR2 (54g)","STA","contractile VSMC",0.01332931847837
"EGR2 (54g)","STA","synthetic VSMC",0.0118528555655927
