"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000473316190737469,0.320420642543164,0.387,0.349,1,"contractile VSMC","SNED1"
0.000475452482651127,0.622329093014137,0.263,0.21,1,"contractile VSMC","TCEA2"
0.000500875673332595,0.411244225177043,0.481,0.427,1,"contractile VSMC","POLR2F"
0.000506108109298599,0.566721226788004,0.333,0.291,1,"contractile VSMC","CDIPT"
0.000508177976244915,0.303995872668367,0.562,0.528,1,"contractile VSMC","ATP5PD"
0.000525451323752971,0.376827994580224,0.539,0.491,1,"contractile VSMC","SRP9"
0.000547114629769063,0.271960048382988,0.598,0.567,1,"contractile VSMC","APRT"
0.000547776859842356,0.311689630227831,0.558,0.532,1,"contractile VSMC","COX7B"
0.000562712924984279,0.393574714946984,0.232,0.216,1,"contractile VSMC","GNA11"
0.000570378419233984,0.392078581902594,0.445,0.402,1,"contractile VSMC","OMD"
0.000577856400464489,0.55407969490166,0.29,0.261,1,"contractile VSMC","SLC29A1"
0.000580304286731692,0.567182041849206,0.189,0.161,1,"contractile VSMC","CAMK1"
0.000582971836118238,0.369467224264796,0.418,0.384,1,"contractile VSMC","NDUFS8"
0.000586573861304033,0.392940657697923,0.435,0.395,1,"contractile VSMC","MRPL43"
0.000591087570675223,0.366095669699904,0.38,0.348,1,"contractile VSMC","CBR3"
0.000609821636501211,0.512670335407136,0.223,0.207,1,"contractile VSMC","CCNB1IP1"
0.00062293754065586,0.844010587981362,0.182,0.132,1,"contractile VSMC","LAMB1"
0.000630083354398391,0.303010117889518,0.47,0.444,1,"contractile VSMC","PGAM1"
0.00063106305878786,0.544385348255302,0.225,0.192,1,"contractile VSMC","ANTKMT"
0.000639985030295943,0.34593921940442,0.23,0.191,1,"contractile VSMC","LIFR"
0.000665361250119896,0.521935837729413,0.239,0.197,1,"contractile VSMC","TJP2"
0.000676576034787107,0.292813908894531,0.357,0.314,1,"contractile VSMC","GHR"
0.000680115051912061,0.446009034428506,0.375,0.332,1,"contractile VSMC","FMC1"
0.000684666644214664,0.715870746232318,0.1,0.066,1,"contractile VSMC","SNAI1"
0.00072111535521733,0.37602038954493,0.395,0.363,1,"contractile VSMC","LAMTOR2"
0.000762961872334174,0.393812231210945,0.351,0.312,1,"contractile VSMC","ARL3"
0.000787106861883268,0.765995017836176,0.19,0.144,1,"contractile VSMC","RGS16"
0.00078926475281073,0.299029371556242,0.441,0.408,1,"contractile VSMC","VDAC3"
0.000810610495810383,0.748701545580797,0.249,0.198,1,"contractile VSMC","TRIM47"
0.00081748568819774,0.476975116839295,0.187,0.165,1,"contractile VSMC","PLK2"
0.000818313820056357,0.291101267204885,0.4,0.386,1,"contractile VSMC","TYMP"
0.000818351164128653,0.298312346829748,0.405,0.387,1,"contractile VSMC","FAM3C"
0.000830669184675029,0.564888814152188,0.293,0.254,1,"contractile VSMC","CRELD2"
0.00084352634521453,0.352766171412501,0.569,0.515,1,"contractile VSMC","RTRAF"
0.000859970938390564,0.600707720582537,0.38,0.339,1,"contractile VSMC","LSM3"
0.000881355324299433,0.294455563135508,0.317,0.293,1,"contractile VSMC","C1QTNF7"
0.000885440851054984,0.262254188613485,0.393,0.365,1,"contractile VSMC","TUFM"
0.000889462735243282,0.437238126861694,0.503,0.462,1,"contractile VSMC","ATP5PO"
0.000906219498605353,0.997439262393465,0.158,0.094,1,"contractile VSMC","LINC01197"
0.000933334413053628,0.611663136046311,0.18,0.149,1,"contractile VSMC","ZNF524"
0.000997127064180801,0.510251915898922,0.423,0.365,1,"contractile VSMC","CBR1"
0.00102299916251942,0.362685000114382,0.312,0.293,1,"contractile VSMC","LSM2"
0.00102990253002501,0.401304066255941,0.441,0.398,1,"contractile VSMC","PPFIBP1"
0.00105789095208855,0.291800147470237,0.466,0.443,1,"contractile VSMC","SNRPF"
0.00106975503848325,0.685751440818819,0.261,0.209,1,"contractile VSMC","ISOC2"
0.00107504551413898,0.476716396356033,0.195,0.176,1,"contractile VSMC","DIXDC1"
0.00108557196712313,0.466602972904311,0.262,0.226,1,"contractile VSMC","CTSH"
0.0010889219630638,0.448336630251828,0.238,0.217,1,"contractile VSMC","DMAC1"
