"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"ARHGEF39",10,1,3,7,7,2
"CA9",19,0,0,3,1,1
"TPM2",242,12,769,5764,5813,484
"TLN1",524,366,454,4710,3144,39
"CREB3",92,33,78,1130,637,6
"GBA2",51,21,27,349,178,2
"RGP1",44,30,37,196,128,1
"MSMP",5,1,0,1,1,0
"AL133410.1",14,14,10,17,6,0
"NPR2",4,4,6,376,233,2
"SPAG8",0,1,6,69,86,1
"HINT2",66,52,86,1343,1216,4
"TMEM8B",8,4,12,293,228,3
"FAM221B",1,0,0,6,1,0
"HRCT1",1,0,0,235,633,1
"SPAAR",0,0,0,19,6,1
"AL135841.1",0,0,0,0,0,0
"RECK",87,48,114,3600,2200,2
"GLIPR2",234,100,129,2364,2141,11
"CCIN",2,0,1,9,13,0
"CLTA",738,339,462,8249,6649,49
"GNE",101,116,54,635,322,9
"RNF38",915,814,331,1286,776,19
"MELK",3,9,4,9,3,0
"AL450267.2",2,0,0,1,2,0
"PAX5",0,1,3,7,1,0
"AL161781.2",0,0,0,2,0,0
"AL512604.3",1,0,0,16,13,0
"EBLN3P",134,74,114,1703,833,12
"AL512604.2",1,0,0,9,4,0
"ZCCHC7",775,607,392,3697,1817,16
"GRHPR",64,70,90,2071,1757,6
"ZBTB5",66,45,28,221,146,4
"POLR1E",175,49,45,527,211,5
"AL513165.1",8,2,4,18,7,0
"FBXO10",105,60,29,167,81,5
"TOMM5",599,252,483,5300,3969,12
"FRMPD1",1,2,0,14,4,0
"TRMT10B",102,120,59,1055,448,3
"EXOSC3",122,85,79,1436,968,4
"DCAF10",402,253,132,1519,459,4
"SLC25A51",121,36,53,545,254,4
"SHB",117,31,43,75,60,4
"AL135785.1",0,0,0,1,0,0
"ALDH1B1",12,0,4,153,91,6
"IGFBPL1",1,0,0,2,0,1
"ANKRD18A",4,8,11,9,2,0
"FAM201A",3,0,0,3,0,0
"AL591543.1",0,0,0,0,0,0
"AL845311.1",1,0,0,0,0,0
"AL953883.1",0,0,1,1,0,0
"CNTNAP3",4,1,2,8,11,1
"GLIDR",6,2,3,173,137,2
"BX664615.2",10,7,6,157,36,0
"BX664727.3",3,1,1,1,6,1
"BMS1P14",2,2,0,1,2,0
"AL353626.1",0,0,0,3,0,1
"BX255923.1",0,0,0,3,1,0
"CBWD6",29,17,18,246,39,0
"AL845472.1",0,0,0,0,1,0
"AL354718.2",0,0,0,0,0,0
"AL591926.2",0,0,0,0,4,1
"FAM242F",1,1,0,2,0,0
"CNTNAP3B",4,1,2,26,11,2
"AL445584.2",2,0,0,7,0,0
"BX088651.4",0,1,2,20,17,0
"CNTNAP3C",0,0,1,2,1,0
"FAM27C",13,6,54,128,90,2
"AL590399.3",1,0,1,10,5,0
"AL590399.1",1,3,0,41,15,1
"LINC01189",0,0,0,4,0,1
"BX005266.2",0,0,0,13,9,0
"LINC01410",4,1,3,22,9,0
"AL512625.3",3,7,5,11,13,0
"LERFS",1,1,0,100,4,2
"AL512625.1",6,1,3,55,51,0
"AL772155.1",0,0,0,1,0,0
"CR786580.1",2,0,0,1,0,0
"ANKRD20A4",9,4,1,1,13,0
"CBWD5",116,92,79,648,301,1
"AL136317.2",0,0,0,1,0,0
"ANKRD20A3",0,0,0,2,1,0
"ZNF658",9,11,2,182,105,1
"AL353770.4",0,0,0,0,2,0
"FAM27E3",0,1,2,3,1,0
"AL627230.1",0,0,0,4,0,0
"ANKRD20A1",1,2,1,6,11,0
"CBWD3",63,21,26,211,84,4
"PGM5",0,1,1,552,196,2
"PGM5-AS1",0,0,0,24,27,1
"AL161457.2",1,2,0,25,15,1
"AL161457.1",0,0,0,2,1,0
"TMEM252-DT",2,1,0,16,4,0
"LINC01506",11,1,0,2,1,0
"PIP5K1B",25,8,2,52,16,3
"FAM122A",33,11,18,504,303,2
"AL354794.1",2,0,0,1,0,0
"FXN",79,31,32,501,296,4
"TJP2",92,6,43,2287,1066,9
"BANCR",0,0,0,1,0,0
"FAM189A2",3,0,4,12,7,0
"APBA1",15,1,13,373,193,3
"AL353693.1",1,2,0,10,2,0
"PTAR1",189,139,94,1205,517,5
"C9orf135",2,0,0,4,1,0
"MAMDC2-AS1",4,0,9,144,136,2
"MAMDC2",15,1,15,2991,2326,9
"SMC5-AS1",18,16,25,163,130,2
"SMC5",733,563,460,3551,2012,23
"AL162390.1",18,19,8,50,16,0
"KLF9",259,254,318,6054,5487,37
"TRPM3",11,7,5,119,371,1
"CEMIP2",1134,1048,546,633,789,39
"ABHD17B",332,157,106,465,256,6
"C9orf85",159,88,67,843,456,7
"C9orf57",1,0,0,2,0,0
"AL583829.1",3,2,1,7,0,0
"GDA",0,4,0,7,0,1
"LINC01504",107,42,58,292,399,17
"ZFAND5",800,298,380,2532,6240,31
"TMC1",13,4,5,14,33,2
"LINC01474",0,0,0,27,21,0
"ALDH1A1",3,1,4,4330,1735,14
"ANXA1",7407,2554,5859,49734,47475,215
"AL451127.2",0,0,0,3,0,0
"AL355674.1",0,0,0,1,0,0
"RORB-AS1",2,0,0,17,10,0
"RORB",26,12,53,533,408,1
"TRPM6",5,0,1,11,12,0
"C9orf40",48,34,14,500,227,1
"CARNMT1-AS1",25,28,9,138,44,0
"CARNMT1",123,100,81,473,155,3
"AL158825.2",1,2,2,6,0,0
"NMRK1",233,211,155,594,531,4
"OSTF1",423,294,360,1671,946,16
"AL353780.1",0,0,0,2,0,0
"PCSK5",290,93,147,4583,2780,21
"RFK",115,51,65,1341,547,1
"GCNT1",43,94,70,3373,252,42
"PRUNE2",3,2,4,199,166,9
"PCA3",1,3,0,7,4,0
"VPS13A",342,253,251,1272,741,8
"GNA14",7,2,18,210,202,5
"GNA14-AS1",1,4,12,59,31,1
"GNAQ",601,247,299,2483,1538,33
"CEP78",84,56,40,331,136,3
"PSAT1",19,1,6,31,13,0
"AL512634.1",2,1,0,2,0,0
"LNCARSR",2,0,0,0,0,1
"TLE4",1906,1026,1058,849,1512,25
"TLE1",64,70,75,865,565,8
"AL591368.1",3,3,1,41,17,0
"AL158154.3",0,0,0,2,0,0
"AL162726.4",0,0,0,1,0,0
"RASEF",4,0,2,4,5,0
"AL499602.1",0,0,0,0,0,0
"AL137847.1",0,0,0,4,7,0
"FRMD3",42,9,12,249,95,4
"AL137847.2",0,0,1,11,9,0
"IDNK",70,38,29,408,230,2
"UBQLN1",477,445,252,1610,942,16
"AL354920.1",8,2,6,61,73,1
"GKAP1",267,175,69,447,314,5
"AL354733.1",2,4,2,18,11,0
"AL354733.2",5,1,2,12,3,1
"KIF27",130,63,76,601,411,5
"C9orf64",17,10,17,385,242,0
"HNRNPK",1426,731,766,9738,5216,48
"AL354733.3",57,200,30,94,22,1
"RMI1",41,21,11,100,87,2
"AL390838.1",0,0,0,4,0,0
"SLC28A3",0,0,0,2,0,0
"AL356134.1",0,0,0,0,0,0
"AL157886.1",2,0,1,15,1,1
"NTRK2",27,13,125,8124,3947,31
"AL354897.1",1,0,0,5,4,0
"AL583827.1",1,0,0,1,3,0
"AGTPBP1",479,385,210,440,322,7
"AL353743.2",8,0,1,26,16,0
"NAA35",330,188,173,1090,613,9
"GOLM1",192,22,137,1239,799,3
"C9orf153",57,18,10,132,37,7
"ISCA1",522,251,187,2082,1782,10
"TUT7",556,690,276,1460,783,9
"AL158828.1",0,0,0,7,10,1
"AL353613.1",0,0,0,22,14,0
"LINC02834",0,0,0,16,3,0
"GAS1",40,0,10,6855,4882,12
"GAS1RR",1,0,1,645,766,1
"AL513318.2",0,0,0,5,8,0
"C9orf170",0,0,0,10,17,0
"DAPK1",86,11,14,416,371,8
"DAPK1-IT1",0,0,0,3,4,0
"CTSL",1360,181,1055,12980,6582,52
"CDK20",9,1,2,109,63,0
"AL353572.4",0,0,0,0,3,0
"AL353748.3",2,1,0,7,18,0
"SPIN1",199,102,133,2119,978,12
"NXNL2",1,0,0,18,24,2
"LINC02843",0,0,0,1,2,0
"AL390791.1",3,0,1,2,23,0
"S1PR3",40,2,44,710,270,7
"SHC3",4,0,2,1114,725,2
"AL353150.1",0,0,0,70,49,0
"CKS2",682,120,196,523,290,21
"SECISBP2",447,320,208,2251,1342,16
"SEMA4D",405,572,413,193,190,1
"AL161910.1",2,0,0,5,2,0
"GADD45G",321,43,218,1441,1835,26
"AL606807.1",2,2,2,5,2,0
"BX470209.1",0,0,0,3,3,0
"AL161629.1",0,0,0,4,6,0
"MIR4290HG",0,0,0,1,0,0
"LINC01508",4,2,2,0,3,0
"LINC01501",0,0,0,4,0,0
"DIRAS2",2,0,0,12,9,0
"SYK",54,9,13,20,22,3
"AL158071.4",2,0,2,9,10,0
"AL158071.3",8,2,4,77,98,1
"AL158071.1",3,1,19,121,167,0
"AL158071.5",1,0,0,5,18,0
"AUH",200,140,112,1478,891,9
"NFIL3",209,63,189,2603,4376,16
"AL353764.1",0,0,0,3,3,0
"ROR2",17,1,37,175,70,0
"SPTLC1",287,181,163,2085,1234,13
"AL136097.2",4,2,1,7,1,1
"IARS",277,150,193,1817,599,4
"NOL8",122,101,79,1510,859,11
"CENPP",97,101,60,744,647,12
"OGN",221,17,54,8578,9765,51
"OMD",19,10,120,5016,5170,41
"ASPN",27,6,82,1423,1229,13
"ECM2",12,8,139,2137,1499,24
"AL157827.2",10,8,0,22,3,0
"IPPK",71,53,40,256,159,1
"BICD2",106,58,53,984,316,3
"ZNF484",76,65,50,380,251,1
"FGD3",318,358,158,43,75,2
"SUSD3",86,65,46,19,23,1
"AL451065.1",0,0,0,4,3,0
"CARD19",197,96,177,1440,1218,7
"NINJ1",316,42,126,1116,1092,12
"WNK2",6,1,0,17,4,1
"C9orf129",1,0,0,2,1,0
"FAM120AOS",236,161,113,1761,993,15
"FAM120A",321,193,178,2205,906,18
"PHF2",116,108,76,804,452,5
"AL442224.1",0,0,0,1,0,0
"BARX1",3,0,4,5,59,1
"PTPDC1",21,18,47,480,391,0
"AL360020.1",5,2,7,30,22,2
"AL158152.1",185,72,74,457,249,3
"LINC02603",24,14,14,28,7,0
"ZNF169",28,39,29,230,67,0
"AL691447.2",5,8,11,104,61,0
"MFSD14B",364,214,131,1044,447,8
"AL358232.2",4,0,0,17,3,0
"PCAT7",2,0,1,14,2,0
"FBP2",0,1,0,1,2,0
"FBP1",63,8,42,31,19,0
"AL157936.1",0,2,1,3,0,0
"AOPEP",167,140,534,4619,2933,32
"AL353768.1",4,3,3,16,8,0
"AL353768.2",3,2,6,17,2,0
"FANCC",41,25,23,513,295,2
"AL354893.2",0,0,0,3,0,0
"PTCH1",23,16,25,718,411,3
"AL161729.1",1,1,0,42,83,0
"AL161729.4",0,0,0,3,0,0
"AL354861.2",3,0,0,1,1,0
"LINC00476",76,42,28,520,653,7
"AL354861.3",0,0,0,9,5,0
"ERCC6L2",274,146,73,1425,666,5
"LINC00092",0,0,1,2,6,2
"HSD17B3",0,0,0,5,1,0
"AL160269.1",4,2,1,14,5,0
"SLC35D2",78,68,52,464,367,2
"ZNF367",68,33,11,56,20,2
"AL133477.2",8,3,3,39,19,0
"HABP4",162,176,170,662,352,9
"CDC14B",44,33,66,1084,942,3
"PRXL2C",211,122,126,1313,1128,5
"AL589843.1",18,24,15,276,105,2
"ZNF510",18,23,12,271,193,2
"ZNF782",89,55,40,477,166,5
"MFSD14C",440,376,173,1066,534,17
"NUTM2G",9,9,2,13,2,0
"CTSV",7,3,2,9,3,1
"AL590705.3",0,2,1,38,3,0
"AL590705.1",17,4,5,21,22,0
"AL590705.2",0,0,0,1,0,0
"CCDC180",20,15,8,127,121,1
"AL512590.3",3,0,0,5,7,0
"TDRD7",111,87,41,448,255,2
"TMOD1",57,11,55,2245,1440,3
"AL162385.1",0,0,1,4,2,0
"TSTD2",117,109,89,1024,779,4
"NCBP1",118,124,109,703,446,7
"AL162385.2",2,3,1,14,1,1
"XPA",178,174,101,1781,950,8
"PTCSC2",22,5,7,9,3,1
"TRMO",201,121,91,481,284,8
"AL499604.1",208,246,134,301,729,10
"HEMGN",3,4,7,5,0,1
"ANP32B",1433,569,478,4472,1803,41
"NANS",353,249,154,1874,981,6
"TRIM14",178,224,74,48,37,1
"CORO2A",67,33,27,34,21,2
"TBC1D2",74,28,23,71,46,0
"GABBR2",10,2,1,18,4,0
"ANKS6",45,16,26,338,223,1
"AL807776.1",0,0,0,4,18,0
"GALNT12",48,18,23,363,297,0
"AL136084.2",1,0,2,22,36,0
"COL15A1",23,4,644,4447,772,28
"AL136084.3",0,0,5,43,40,1
"TGFBR1",258,89,294,2591,889,19
"ALG2",74,38,39,1099,588,2
"SEC61B",1341,467,1437,14421,10686,30
"NAMA",0,0,0,1,11,0
"AL137067.3",0,0,0,1,1,0
"STX17-AS1",234,392,120,225,164,3
"AL162394.1",0,0,0,2,0,0
"NR4A3",510,595,221,1484,613,18
"STX17",136,167,98,1339,714,7
"AL358937.1",9,2,2,25,1,1
"ERP44",540,277,207,3499,2159,15
"INVS",261,248,136,1783,1390,13
"TEX10",179,101,94,595,309,3
"MSANTD3",101,34,169,553,396,2
"TMEFF1",28,0,7,87,15,0
"CAVIN4",4,0,4,20,5,1
"PLPPR1",1,2,0,8,0,1
"BAAT",8,0,1,6,0,0
"MRPL50",180,90,92,1748,831,6
"ZNF189",67,48,13,358,155,1
"ALDOB",2,0,0,3,1,1
"TMEM246-AS1",0,0,0,9,4,0
"TMEM246",6,1,4,91,63,0
"RNF20",72,54,65,701,263,5
"GRIN3A",7,3,2,60,8,1
"LINC00587",0,0,0,2,0,1
"LINC01492",2,0,1,5,21,0
"AL390962.1",0,0,0,6,0,0
"SMC2-AS1",1,0,0,9,5,0
"SMC2",49,27,20,577,330,2
"NIPSNAP3A",25,8,17,484,276,6
"NIPSNAP3B",9,1,8,107,82,0
"ABCA1",489,85,515,3064,2758,28
"AL359182.1",0,0,0,9,17,0
"CT70",9,4,4,27,42,0
"AL591506.1",10,3,8,22,26,3
"SLC44A1",178,78,219,2365,1567,23
"FSD1L",25,14,22,391,180,1
"AL158070.1",0,0,0,4,0,0
"FKTN",33,34,30,680,259,3
"TAL2",0,0,0,2,4,0
"TMEM38B",156,84,59,696,532,5
"LINC01505",20,5,4,76,42,1
"ZNF462",17,1,35,806,374,6
"AL807761.4",0,0,2,10,2,0
"RAD23B",420,268,190,2724,1369,13
"LINC01509",2,0,1,18,16,1
"AL359552.1",0,0,0,4,0,0
"KLF4",468,30,204,5963,6686,76
"ELP1",104,74,54,512,350,7
"ABITRAM",55,31,29,391,237,3
"CTNNAL1",407,175,247,1174,730,21
"TMEM245",625,251,169,1548,700,7
"FRRS1L",7,0,0,168,13,1
"EPB41L4B",5,0,1,45,16,1
"PTPN3",1,4,16,37,35,0
"PALM2-AKAP2",211,55,401,1320,1154,12
"C9orf152",2,2,2,11,29,1
"TXN",2471,412,2006,18069,15838,109
"TXNDC8",0,0,0,1,2,0
"SVEP1",15,1,18,7900,5706,24
"MUSK",2,0,4,152,90,3
"LPAR1",41,7,28,4828,4897,24
"AL162414.1",3,0,0,9,3,0
"ECPAS",325,307,208,2061,1434,17
"ZNF483",81,79,38,569,401,4
"PTGR1",62,8,64,3076,2928,8
"DNAJC25",127,52,86,849,429,4
"GNG10",245,80,345,2970,1995,13
"SHOC1",28,18,29,437,88,3
"UGCG",338,242,261,1232,1185,9
"AL138756.1",4,1,2,32,17,0
"SUSD1",63,27,23,136,179,7
"PTBP3",597,416,336,1420,980,16
"HSDL2",105,64,75,1034,547,9
"C9orf147",47,11,8,68,16,3
"KIAA1958",188,110,43,218,99,2
"INIP",128,104,66,646,394,3
"AL390067.1",1,0,0,3,4,0
"SNX30",150,76,62,224,181,3
"SLC46A2",0,3,0,4,0,0
"AL139041.1",0,0,0,2,0,0
"ZNF883",9,7,9,127,59,1
"ZFP37",10,14,12,496,276,0
"FAM225B",0,0,0,28,11,0
"FAM225A",0,1,2,25,11,0
"SLC31A2",76,31,26,743,502,2
"FKBP15",127,51,56,713,408,7
"SLC31A1",69,33,53,523,176,9
"CDC26",317,191,235,3798,2144,14
"PRPF4",92,46,59,757,239,5
"RNF183",0,0,0,14,4,0
"WDR31",2,2,3,178,109,3
"BSPRY",3,0,0,12,6,0
"HDHD3",68,44,26,490,216,0
"ALAD",17,13,20,334,240,5
"POLE3",332,141,147,919,730,6
"C9orf43",4,0,3,25,17,0
"RGS3",74,33,141,342,529,5
"AL162727.2",0,3,0,0,0,0
"AL157702.2",0,0,2,4,6,0
"ZNF618",11,13,22,513,440,7
"AMBP",0,0,0,5,0,0
"KIF12",0,0,0,2,0,0
"COL27A1",47,17,85,162,83,3
"AKNA",512,943,255,225,366,5
"AL138895.1",8,17,10,19,59,0
"WHRN",196,312,170,123,140,8
"ATP6V1G1",1289,630,966,8141,5698,34
"TMEM268",41,28,15,142,70,1
"TEX53",3,1,0,7,2,0
"TEX48",3,1,0,7,0,0
"TNFSF15",12,1,5,29,6,0
"DEC1",63,30,100,89,182,10
"TNFSF8",296,179,76,96,172,5
"TNC",201,1,669,237,304,11
"AL162425.1",0,0,0,0,0,0
"AL355601.1",0,0,0,0,0,0
"AL691420.1",2,2,7,20,26,0
"LINC00474",0,0,0,0,0,0
"PAPPA",77,4,365,1182,331,5
"AL137024.1",1,0,11,57,15,0
"PAPPA-AS1",3,0,0,6,4,1
"ASTN2",75,28,29,876,409,11
"ASTN2-AS1",2,4,3,29,8,0
"AL133284.1",0,3,0,1,0,0
"TRIM32",7,3,9,314,122,1
"AL157829.1",3,0,0,0,0,0
"AL161630.1",0,0,0,0,0,0
"TLR4",62,10,51,130,442,1
"AL160272.1",3,0,6,16,18,4
"AL354754.1",0,0,0,2,0,0
"AL355592.1",1,0,0,4,0,0
"BRINP1",0,0,3,12,5,1
"AC006288.1",0,0,0,1,0,0
"CDK5RAP2",222,199,143,1127,820,7
"MEGF9",337,146,91,724,381,13
"FBXW2",125,111,82,965,418,6
"B3GNT10",8,2,5,16,30,0
"PSMD5",229,122,110,1104,569,4
"PHF19",295,107,70,790,567,1
"TRAF1",588,463,351,125,170,3
"C5",5,2,6,249,160,1
"CNTRL",459,397,192,758,687,9
"RAB14",370,265,268,4942,3008,13
"GSN",223,23,1236,446952,201854,1004
"AL513122.2",0,0,0,8,13,0
"GSN-AS1",0,0,0,10,6,0
"STOM",425,153,208,4744,3370,22
"AL359644.1",8,4,5,118,63,1
"DAB2IP",17,0,48,560,217,7
"AL596244.1",1,0,1,37,11,0
"TTLL11",18,10,4,423,134,7
"NDUFA8",99,60,107,2199,1450,9
"MORN5",0,0,0,5,0,0
"LHX6",2,0,1,0,2,1
"RBM18",96,50,60,794,480,2
"MRRF",70,37,53,555,359,2
"PTGS1",15,2,8,102,117,2
"AL162424.1",1,2,1,4,0,0
"AL359636.1",1,0,0,1,0,0
"AL359636.2",6,3,5,19,5,0
"OR1L8",0,0,0,13,3,0
"PDCL",144,70,74,1205,694,11
"RC3H2",268,279,159,1223,548,2
"ZBTB6",56,39,52,454,241,0
"ZBTB26",43,27,27,197,66,2
"AC007066.2",11,7,3,22,6,1
"RABGAP1",491,294,153,1349,707,24
"GPR21",0,0,0,0,0,0
"MIR600HG",3,1,0,1,0,0
"STRBP",394,212,117,229,196,1
"CRB2",7,1,2,4,2,0
"DENND1A",428,378,162,2143,1304,11
"AL390774.2",13,29,7,58,13,0
"LHX2",1,1,0,0,0,0
"NEK6",62,17,79,423,256,3
"PSMB7",369,173,198,2668,1884,13
"ADGRD2",0,0,0,0,0,0
"NR6A1",21,9,15,354,102,8
"MIR181A2HG",13,3,11,123,69,0
"AL354928.1",0,1,0,1,1,1
"OLFML2A",5,0,20,1007,535,8
"WDR38",0,0,0,6,6,0
"RPL35",10531,2074,3863,28599,27660,240
"ARPC5L",438,225,240,1695,718,8
"GOLGA1",87,81,82,840,574,6
"SCAI",188,124,68,621,419,6
"PPP6C",396,336,158,1552,1032,6
"RABEPK",94,67,53,1043,382,4
"HSPA5",2405,462,2615,24865,9500,55
"AL354710.2",2,2,1,20,7,1
"GAPVD1",335,264,166,1498,690,6
"AL359632.1",2,6,0,1,0,0
"MAPKAP1",281,273,145,1469,905,14
"AL162584.1",0,2,1,1,0,0
"AL358074.1",1,0,0,8,2,0
"PBX3",480,356,187,2010,1101,25
"AL589923.1",1,0,0,1,0,0
"AL162391.1",0,0,0,1,0,0
"MVB12B",117,242,81,323,214,2
"AL356309.1",0,0,0,0,0,0
"AL161908.1",0,0,0,13,10,0
"LMX1B",0,0,0,127,57,0
"ZBTB43",385,234,133,658,316,6
"ZBTB34",27,15,14,185,117,0
"RALGPS1",64,44,19,238,133,4
"ANGPTL2",18,3,17,1395,858,2
"AL450263.1",0,0,0,2,0,0
"GARNL3",18,5,28,721,417,5
"AL445222.1",0,1,0,24,17,0
"SLC2A8",13,4,13,382,187,2
"ZNF79",27,39,9,119,50,0
"RPL12",14754,5035,6463,50708,57580,360
"LRSAM1",59,53,39,341,214,7
"NIBAN2",107,9,263,612,210,8
"STXBP1",65,18,59,1682,620,3
"AL162426.1",4,1,2,15,17,0
"PTRH1",59,24,42,615,416,1
"CFAP157",2,2,3,11,11,0
"TTC16",2,1,1,12,21,1
"TOR2A",26,17,19,296,171,0
"SH2D3C",54,26,33,55,74,1
"AL162586.2",2,2,3,1,0,0
"CDK9",115,59,78,1140,754,5
"FPGS",127,74,69,666,580,6
"ENG",147,32,404,2960,995,28
"AL162586.1",8,15,5,36,13,0
"AK1",95,20,118,2726,1444,7
"ST6GALNAC6",139,72,69,1907,1223,10
"ST6GALNAC4",52,15,47,927,368,2
"PIP5KL1",17,23,6,27,25,0
"DPM2",98,73,98,1419,1001,2
"FAM102A",559,520,232,795,375,4
"AL360268.2",0,1,0,4,0,2
"NAIF1",27,17,11,121,95,1
"SLC25A25",231,110,109,441,529,9
"AL360268.1",2,0,0,5,23,0
"SLC25A25-AS1",25,16,11,21,16,5
"PTGES2",84,53,94,1200,690,5
"AL590708.1",0,1,0,11,5,0
"C9orf16",489,201,361,2750,2593,17
"CIZ1",91,46,41,1348,953,6
"DNM1",8,2,4,1812,1297,5
"GOLGA2",134,148,233,2902,1237,11
"SWI5",120,77,95,1749,1659,4
"TRUB2",43,35,23,578,340,1
"AL359091.4",1,0,1,19,7,0
"COQ4",83,40,62,878,800,2
"SLC27A4",140,56,99,936,225,20
"URM1",99,88,77,1638,1529,8
"CERCAM",25,0,75,1689,1108,10
"AL359091.5",0,0,0,67,30,2
"ODF2",117,128,101,764,321,17
"ODF2-AS1",1,1,1,3,1,1
"GLE1",57,70,29,426,238,4
"AL356481.1",18,13,8,85,89,2
"SPTAN1",1368,661,731,4923,4041,64
"AL356481.3",0,2,0,1,2,0
"WDR34",23,7,6,546,388,4
"HMGA1P4",9,31,9,32,22,1
"SET",1593,569,791,5972,2180,57
"PKN3",10,4,1,71,31,2
"ZDHHC12",51,48,16,445,487,4
"AL441992.1",17,12,12,46,61,1
"ZER1",150,128,64,519,329,4
"TBC1D13",39,42,28,320,159,2
"ENDOG",85,21,55,992,882,2
"SPOUT1",46,41,35,509,408,0
"KYAT1",22,20,19,159,88,1
"LRRC8A",121,63,58,764,411,9
"PHYHD1",24,7,4,1129,1063,2
"DOLK",11,9,7,389,186,0
"NUP188",144,110,56,476,272,4
"AL592211.1",2,3,0,6,2,0
"SH3GLB2",103,36,50,1302,1364,9
"MIGA2",70,65,33,222,98,4
"AL592211.2",3,0,0,5,12,0
"DOLPP1",11,5,7,167,70,1
"CRAT",29,10,25,920,534,5
"AL158151.2",0,0,0,2,0,0
"PTPA",56,49,62,451,425,6
"AL158151.4",0,1,0,1,0,0
"IER5L",385,111,175,5887,2100,19
"AL158151.3",2,0,3,29,29,1
"AL158151.1",0,1,6,22,10,0
"AL161785.3",1,0,0,3,0,0
"AL161785.1",2,0,5,6,5,0
"C9orf106",0,1,2,15,25,0
"LINC01503",8,0,9,274,249,2
"AL353803.2",5,0,0,3,3,0
"AL353803.1",0,1,0,1,0,0
"LINC00963",141,134,93,928,775,8
"AL391056.1",0,0,17,1,0,0
"NTMT1",182,126,192,1442,963,6
"C9orf50",2,0,1,3,5,1
"ASB6",57,17,24,313,169,2
"PRRX2",41,1,434,8398,2193,15
"PRRX2-AS1",0,0,0,8,2,0
"PTGES",39,4,111,3673,1359,9
"TOR1B",94,49,63,699,435,3
"TOR1A",75,58,50,1290,695,7
"C9orf78",514,347,278,2662,1690,12
"USP20",183,187,75,239,182,2
"FNBP1",1920,2161,1034,1862,1442,19
"AL158207.2",13,16,9,5,9,0
"AL136141.1",1,3,1,7,6,0
"GPR107",129,120,106,851,505,2
"NCS1",113,18,85,820,361,5
"HMCN2",3,2,1,1206,477,6
"ASS1",27,1,20,394,390,2
"FUBP3",156,112,91,902,346,5
"EXOSC2",41,35,18,344,176,2
"ABL1",405,335,312,3837,3051,31
"FIBCD1",4,1,11,5,9,0
"LAMC3",15,3,64,5,4,3
"AIF1L",4,1,2,247,342,6
"NUP214",290,248,219,1027,675,4
"AL157938.2",75,174,86,215,30,1
"AL157938.3",44,49,33,52,81,1
"FAM78A",46,48,42,43,21,2
"PLPP7",2,0,6,156,244,1
"PRRC2B",603,603,384,2195,1779,16
"AL358781.1",8,5,2,12,5,3
"POMT1",46,57,44,320,228,1
"AL358781.2",13,2,5,16,2,0
"UCK1",41,18,17,516,329,3
"PRRT1B",13,2,1,0,0,0
"RAPGEF1",721,780,431,767,682,12
"MED27",305,217,97,1016,481,7
"NTNG2",23,21,13,132,137,0
"SETX",656,478,307,3157,1277,19
"TTF1",175,188,115,962,598,5
"CFAP77",0,2,0,18,3,2
"BARHL1",0,0,0,1,0,0
"DDX31",106,83,49,417,242,1
"GTF3C4",111,51,43,527,259,2
"AK8",4,0,2,61,45,2
"SPACA9",2,0,5,259,414,1
"TSC1",83,80,54,527,413,8
"GFI1B",3,3,0,3,7,0
"GTF3C5",93,49,30,418,372,5
"CEL",9,4,0,24,4,2
"RALGDS",347,348,223,633,472,7
"GBGT1",19,4,3,205,288,1
"ABO",1,1,5,68,21,0
"SURF6",89,46,64,1056,404,5
"MED22",19,11,15,242,160,1
"RPL7A",12943,4225,7408,56926,63963,299
"SURF1",130,83,132,1390,1545,9
"SURF2",97,83,61,822,547,1
"SURF4",544,324,337,3829,2310,17
"STKLD1",7,5,1,51,61,0
"REXO4",109,94,73,736,457,2
"ADAMTS13",10,5,3,24,28,0
"CACFD1",7,6,12,116,65,5
"SLC2A6",11,7,7,73,42,2
"ADAMTSL2",1,0,10,536,240,2
"AC002101.1",0,3,0,0,0,0
"DBH",1,0,4,1,0,0
"SARDH",8,28,22,38,23,3
"VAV2",25,17,32,434,160,5
"BRD3OS",20,11,21,249,223,1
"BRD3",115,44,56,936,460,6
"BX649632.1",1,0,0,10,11,0
"WDR5",47,35,36,619,331,0
"RXRA",92,47,36,692,557,8
"AL669970.1",2,0,0,2,1,0
"AL669970.3",2,0,0,88,66,0
"COL5A1",148,10,513,2329,1401,19
"FCN1",27,10,34,5,47,0
"AL353611.1",0,0,0,4,7,0
"OLFM1",8,0,4,928,612,3
"AL390778.1",0,0,0,0,0,0
"PPP1R26-AS1",4,2,0,33,17,1
"PPP1R26",2,0,2,44,49,3
"C9orf116",3,1,1,96,65,0
"MRPS2",77,39,43,1445,944,4
"GLT6D1",0,0,0,4,0,0
"KCNT1",1,0,0,2,3,0
"CAMSAP1",110,79,57,235,160,3
"AL355574.1",21,16,7,105,46,1
"UBAC1",105,65,79,1405,892,6
"NACC2",43,56,22,538,215,5
"LINC02846",0,0,0,2,2,0
"TMEM250",56,18,29,688,343,1
"QSOX2",51,41,32,265,131,1
"CCDC187",0,0,0,2,3,0
"AC174065.1",0,0,1,2,15,0
"GPSM1",23,3,33,214,131,2
"DNLZ",64,12,12,201,229,0
