"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"EFHD2",601,267,355,515,573,10
"CTRC",8,12,7,4,15,1
"CELA2A",6,0,0,0,4,1
"CELA2B",8,2,3,18,4,1
"CASP9",82,40,28,515,208,3
"DNAJC16",65,43,50,792,290,2
"AGMAT",9,6,6,25,4,1
"AL121992.1",0,5,4,19,19,0
"DDI2",271,379,142,621,376,1
"PLEKHM2",203,167,166,1897,2213,6
"AL450998.3",1,6,3,7,2,0
"SLC25A34",8,5,6,31,35,1
"SLC25A34-AS1",2,3,2,8,17,4
"TMEM82",0,1,0,4,3,0
"FBLIM1",20,6,61,217,85,17
"UQCRHL",4,0,0,10,12,0
"AL450998.2",91,69,48,305,446,2
"SPEN",656,422,321,2094,1230,18
"ZBTB17",104,84,50,372,209,2
"SRARP",0,0,0,0,0,0
"HSPB7",3,0,6,24,54,0
"FAM131C",0,0,0,4,13,0
"EPHA2",13,1,10,110,97,2
"AL451042.1",0,0,0,2,0,0
"ARHGEF19",14,11,12,141,92,0
"AL109627.1",3,1,1,10,10,1
"CPLANE2",6,1,0,42,36,2
"FBXO42",259,199,129,994,699,5
"SZRD1",241,187,120,1347,1047,7
"SPATA21",57,58,36,53,21,3
"NECAP2",248,185,142,935,743,4
"LINC01772",17,9,2,24,6,0
"AL137802.2",4,1,3,9,28,0
"AL137802.1",0,0,0,10,0,0
"LINC01783",1,0,0,69,60,3
"NBPF1",31,7,18,646,630,1
"AL137798.1",0,0,0,7,3,0
"AL021920.3",0,0,0,2,0,0
"CROCC",164,118,173,826,911,24
"BX284668.2",1,0,0,55,24,2
"BX284668.5",42,23,36,481,1040,2
"BX284668.6",58,36,22,268,248,2
"MFAP2",8,0,53,892,818,2
"AL049569.1",21,29,11,31,33,0
"ATP13A2",50,39,23,224,82,5
"SDHB",317,178,108,2053,949,4
"PADI2",4,2,2,3,3,0
"LINC02783",0,0,0,0,0,0
"PADI1",0,0,0,1,0,0
"PADI3",1,0,0,2,0,0
"PADI4",26,2,2,3,12,2
"PADI6",2,0,2,3,1,0
"RCC2",181,187,105,568,330,6
"ARHGEF10L",12,2,49,707,398,5
"LINC02810",1,0,0,5,1,0
"ACTL8",1,0,0,10,3,0
"AL357509.1",0,0,0,0,0,0
"IGSF21",1,1,2,213,13,4
"IGSF21-AS1",0,0,0,0,0,0
"AL591896.1",0,0,0,1,1,0
"PAX7",4,0,0,2,0,0
"TAS1R2",0,0,0,1,0,0
"ALDH4A1",14,4,3,126,112,2
"IFFO2",199,181,166,142,257,3
"AL137127.1",2,1,0,16,8,0
"UBR4",364,301,211,872,1063,5
"EMC1-AS1",171,100,80,676,356,12
"EMC1",96,75,66,662,312,5
"MRTO4",127,55,80,1339,670,6
"AKR7A3",0,3,20,22,7,0
"AKR7A2",94,41,112,2304,2527,9
"SLC66A1",16,16,6,155,154,0
"CAPZB",840,516,711,4776,4380,38
"MICOS10",645,249,956,6925,6646,37
"AL031727.2",48,19,21,14,46,0
"NBL1",181,22,252,4226,3457,23
"HTR6",2,2,0,4,3,0
"TMCO4",44,86,43,519,354,1
"OTUD3",78,60,69,405,259,1
"PLA2G2A",512,0,0,157774,173148,31
"PLA2G5",1,0,5,630,744,1
"PLA2G2D",0,0,0,2,0,0
"Z98257.1",1,0,0,2,0,0
"PLA2G2C",2,0,0,3,2,0
"UBXN10-AS1",8,4,2,42,21,0
"UBXN10",2,2,1,32,18,0
"VWA5B1",2,0,2,1,0,1
"AL020998.1",0,0,1,1,0,0
"LINC01141",0,0,0,2,1,0
"CAMK2N1",197,48,104,6902,2260,14
"MUL1",37,18,16,657,300,2
"FAM43B",1,0,3,487,89,0
"CDA",47,4,14,699,300,0
"PINK1",67,33,40,1349,676,8
"PINK1-AS",21,13,15,76,16,0
"DDOST",295,142,136,4101,3528,7
"KIF17",8,0,2,10,3,0
"SH2D5",2,0,0,0,0,0
"AL663074.1",0,0,0,2,9,2
"HP1BP3",883,568,422,6065,5707,27
"EIF4G3",921,447,349,2555,1344,17
"AL031005.2",0,1,0,3,8,0
"ECE1",354,320,488,3299,2408,18
"AL031728.1",39,19,10,9,15,0
"NBPF3",37,11,17,177,164,1
"ALPL",49,2,2,8,73,2
"RAP1GAP",1,1,0,3,6,0
"USP48",348,402,219,1943,1196,9
"LDLRAD2",0,0,5,130,48,1
"HSPG2",68,6,148,6102,4277,51
"CELA3B",0,0,0,1,0,0
"CELA3A",0,0,0,0,0,0
"LINC01635",1,0,1,2,13,1
"LINC00339",25,18,19,292,240,1
"CDC42",1950,817,1038,6599,5811,58
"CDC42-AS1",46,34,16,20,17,3
"CDC42-IT1",15,14,6,11,5,0
"WNT4",30,4,24,17,5,0
"AL445253.1",3,0,1,4,3,0
"ZBTB40",156,134,69,525,304,3
"EPHA8",1,0,0,1,0,0
"C1QA",42,67,65,98,288,30
"C1QC",58,72,41,79,370,27
"C1QB",74,51,60,75,225,20
"EPHB2",27,0,0,1278,208,5
"LACTBL1",0,0,0,1,0,0
"TEX46",1,3,0,5,2,0
"KDM1A",229,157,199,1269,795,8
"AL031428.1",290,83,87,203,77,6
"LUZP1",1133,808,531,1666,906,25
"LINC01355",10,8,2,154,8,0
"AL109936.6",3,6,1,17,0,0
"HNRNPR",605,389,396,4918,2335,21
"ZNF436",19,9,7,758,218,4
