"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF16",-0.175433914243073,1.87070040793125,-0.287697152150027,0.780204314835444,0.834393991257737,-6.39745789888762
"CLINT1",0.0936992930903635,6.66565624798847,0.28767744678039,0.780218915304882,0.834393991257737,-6.8447439693778
"EEF1AKMT4",-0.216981346229749,2.10964583721491,-0.287562737884064,0.78031133676846,0.834393991257737,-6.45206674125548
"RNF20",-0.101103674561396,4.10972043205991,-0.287523002387492,0.780333352281166,0.834393991257737,-6.76137263448952
"SRD5A1",-0.1415421419164,2.94324587658615,-0.287210491044164,0.780564927539791,0.834541597503791,-6.53074509446285
"CITED4",0.133995001486867,3.3676316652781,0.287140046259,0.780617131273559,0.834541597503791,-6.72388603044075
"AGA",0.130468501223744,3.2024473758706,0.287101340410968,0.780645815081748,0.834541597503791,-6.63242882904406
"ARMC5",0.125443844067701,2.4714863367745,0.285842945854738,0.781578566907603,0.835476522891848,-6.49235625908685
"HNRNPR",-0.0880947141333115,6.84663983453537,-0.285618901429481,0.781744672791105,0.835591855926988,-6.84522947577604
"ZNF77",-0.163422754308645,2.15446166826547,-0.285065635349847,0.782154912851716,0.835908414309228,-6.40155001299103
"GFM1",-0.0862909042013698,4.51417726368801,-0.285062413561511,0.782157301977654,0.835908414309228,-6.81598811406167
"RHEB",-0.0893862395368465,7.08528114629845,-0.284282449461488,0.782735757636613,0.836464343740019,-6.84571831512051
"MTIF2",0.088348797619811,3.8674929297823,0.283203953346404,0.783535850764761,0.837243732041277,-6.74035443255305
"DYNLT1",0.115850600261424,6.72998058966756,0.283142107347448,0.783581740019682,0.837243732041277,-6.84599120477359
"LINC02246",0.183866492112496,2.36940784396938,0.282874005880442,0.783780679490981,0.837393961549203,-6.44750235987929
"PSMA3",-0.104682732347142,6.77695009752633,-0.282730213419278,0.783887384743627,0.837445632674161,-6.84606916480728
"NRDC",0.0905304366912034,6.39574652009654,0.282080230682573,0.784369782443793,0.837898627461353,-6.84611955344488
"HTATIP2",0.0954051196350862,4.83938893135766,0.281905079960208,0.784499790756815,0.837913555488887,-6.83784083046983
"RNF25",-0.129187995818952,2.91909476452967,-0.281904115538352,0.784500506633354,0.837913555488887,-6.5705520814891
"AMDHD2",0.110821400758046,3.40817350057835,0.281534977906204,0.784774527975406,0.838143867154686,-6.68083685195578
"ANKRD40",-0.0785414774460742,4.46673638155027,-0.281262682008566,0.784976681086262,0.838297394562325,-6.79608116427226
"XPC",0.0794138004890854,6.11001027522503,0.281012118212109,0.785162715324688,0.838406850660582,-6.84578297775703
"AFG3L2",-0.0934046659508523,4.9993220996768,-0.280967298657215,0.785195993690274,0.838406850660582,-6.83967917083563
