program,pseudotime_bin,pseudotime_mid,mean_z,se_z,cells
Metabolic stress,12,0.3796648568341548,-0.002931499552363492,0.08494924892117968,189
Metabolic stress,13,0.4107735857581508,-0.11826588606109364,0.24631231608358062,28
Metabolic stress,14,0.4428113152286836,-0.538772164175459,0.3409127660346276,12
Metabolic stress,15,0.4884207923432276,-0.6047579274948621,0.4270305644509892,6
Metabolic stress,16,0.5170662626164096,0.09711202789035953,0.14888178083725026,61
Metabolic stress,17,0.5529956599121909,0.21343166016091755,0.12625804879841596,78
Metabolic stress,18,0.5844615506111523,0.10752172281452248,0.08984807369959061,207
Metabolic stress,19,0.6163875716592444,-0.04672892942726445,0.07246630434617383,281
Metabolic stress,20,0.6506002662918077,-0.016100266071722887,0.05509414792781172,411
Metabolic stress,21,0.683089477888012,-0.09400222530427249,0.04640648480597386,517
Metabolic stress,22,0.7163468860114403,-0.12932697754211311,0.046937182393609646,502
Metabolic stress,23,0.7485947149836245,-0.08155811385338353,0.050208531841252194,451
Metabolic stress,24,0.7817568307256878,-0.06035135764402761,0.06147795807524614,298
Metabolic stress,25,0.815187578196657,-0.023273833200640203,0.09096934592733057,154
Metabolic stress,26,0.8469884961524322,-0.3122651377298225,0.09998224775808841,78
Metabolic stress,27,0.8818339479188878,-0.15756577340123415,0.2001461415134885,30
Metabolic stress,28,0.9132367958391283,-0.12115392065704877,0.299255638414455,10
Metabolic stress,29,0.9575083722505024,-0.8985601643228828,0.8744683853215922,3
Metabolic stress,30,0.9837770521174899,-1.455823817422917,0.3244697701454337,4
Transition pressure,1,0.020054416169978086,0.05221256035575397,0.3878190002450684,5
Transition pressure,2,0.05317623101794364,0.15123639805355857,0.12048892058939677,29
Transition pressure,3,0.08678521690056284,0.019411034733387185,0.09131208478941162,82
Transition pressure,4,0.12017342717674852,-0.0779447173088978,0.08084450336183731,237
Transition pressure,5,0.15176354267583966,0.01887941555204613,0.03667771557783628,586
Transition pressure,6,0.1849424632458301,0.03378618007176597,0.02590794768601646,1193
Transition pressure,7,0.2166954337044359,-0.07916153477607853,0.024672086654643714,1557
Transition pressure,8,0.25019612065568636,-0.12036961721910136,0.025133379702188357,1595
Transition pressure,9,0.28212585095622594,-0.24208206512572522,0.023933675201089546,1688
Transition pressure,10,0.31468403022063196,-0.3310253630137813,0.0362164850969875,894
Transition pressure,11,0.3480470620411833,-0.2774553190823868,0.05931584247746034,414
Transition pressure,12,0.3796648568341548,-0.2271833859017901,0.0803359966109258,189
Transition pressure,13,0.4107735857581508,-0.42920006524053167,0.220181690813626,28
Transition pressure,14,0.4428113152286836,-1.0070107514673352,0.3638243051155563,12
Transition pressure,15,0.4884207923432276,0.017035391420529206,0.5397616859271942,6
Transition pressure,16,0.5170662626164096,0.12031638477654534,0.13288928774962044,61
Transition pressure,17,0.5529956599121909,0.5229184996301832,0.09182238864624027,78
Transition pressure,18,0.5844615506111523,0.4815238074105732,0.07143982359973548,207
Transition pressure,19,0.6163875716592444,0.39450893465371506,0.05078839518942827,281
Transition pressure,20,0.6506002662918077,0.3807598211136515,0.04344113311600341,411
Transition pressure,21,0.683089477888012,0.33236208144762014,0.03863681535672311,517
Transition pressure,22,0.7163468860114403,0.28786420758669495,0.04228278684323903,502
Transition pressure,23,0.7485947149836245,0.36035942253692027,0.04149703259330701,451
Transition pressure,24,0.7817568307256878,0.4446654452571755,0.04335582369143247,298
Transition pressure,25,0.815187578196657,0.580087253223253,0.05548910215510139,154
Transition pressure,26,0.8469884961524322,0.37581673970421753,0.08360858810090392,78
Transition pressure,27,0.8818339479188878,0.4373290748027589,0.10154929962547143,30
Transition pressure,28,0.9132367958391283,0.28649957438160245,0.12701134415861587,10
Transition pressure,29,0.9575083722505024,0.22441687532535573,0.08059748997256871,3
Transition pressure,30,0.9837770521174899,0.1636487528808639,0.1742751894880858,4
